SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,SPECIFIC LOCATION,GENERAL LOCATION,HEMISPHERE,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS,SOURCE,NOTES,IMAGE
acca sellowiana,Sellow's acca,feijoa,acca,myrtaceae,myrtales,dicots,feijoas,myrtles,phanerophyte,Expo,shrub,Southern Brazil,South America,southern,Cultivated,High,Limited,Widespread/Common,bred,Edible fruit and flower petals,https://upload.wikimedia.org/wikipedia/commons/0/0e/Feijoa_sellowiana_fruit.jpg
acer campestre,field maple,field maple,acer,sapindaceae,sapindales,dicots,maples,,phanerophyte,kintbury,tree,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/a/a1/Acer_campestre_006.jpg
acer circinatum,circular maple,vine maple,acer,sapindaceae,sapindales,dicots,maples,,phanerophyte,Kew,tree,Western United States,North America,northern,Both,Low,None,Widespread/Common,natural,Leaves arranged in circles,https://upload.wikimedia.org/wikipedia/commons/5/51/Acer_circinatum_9643.JPG
acer griseum,grey maple,paper bark maple,acer,sapindaceae,sapindales,dicots,maples,,phanerophyte,kew,tree,China,East Asia,northern,Cultivated,High,Limited,Locally common,bred,Distinctive peeling cinnamon-colored bark,https://upload.wikimedia.org/wikipedia/commons/9/92/Acer_griseum_01.jpg
acer japonicum,maple from Japan,downy japanese maple,acer,sapindaceae,sapindales,dicots,maples,,phanerophyte,kew,tree,Japan,East Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/0/05/Acer_japonicum_03.jpg
acer monspessulanum,Montpellier maple,montpellier maple,acer,sapindaceae,sapindales,dicots,maples,,phanerophyte,knighton,tree,Southern Europe,Mediterranean,northern,Both,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/8/84/Acer_monspessulanum_005.jpg
acer negundo,negundo maple,ashleaf maple,acer,sapindaceae,sapindales,dicots,maples,soapberry,phanerophyte,amman,tree,Eastern United States,North America,northern,Both,Low,None,Widespread/Common,natural,Only maple with compound leaves,https://upload.wikimedia.org/wikipedia/commons/4/42/2014-04-07_Acer_negundo_2.jpg
acer nigrum,black maple,black maple,acer,sapindaceae,sapindales,dicots,maples,,phanerophyte,Kew,tree,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/a/a2/Acer_nigrum.jpg
acer palmatum,hand-shaped maple,japanese maple,acer,sapindaceae,sapindales,dicots,maples,,phanerophyte,Kew,tree,Japan,East Asia,northern,Cultivated,High,Major,Widespread/Common,bred,Hundreds of cultivars exist,https://upload.wikimedia.org/wikipedia/commons/f/f5/Acer_palmatum_003.jpg
acer pensylvanicum,maple from Pennsylvania,striped maple,acer,sapindaceae,sapindales,dicots,maples,,phanerophyte,charlevoix,tree,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,Green bark with white stripes,https://upload.wikimedia.org/wikipedia/commons/6/61/Acer_pensylvanicum.jpg
acer platanoides,maple that's like a plane tree,norway maple,acer,sapindaceae,sapindales,dicots,maples,,phanerophyte,Kew,tree,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/b/b3/Acer_platanoides_006.jpg
acer pseudoplatanus,false plane tree,sycamore maple,acer,sapindaceae,sapindales,dicots,maples,,phanerophyte,kintbury,tree,,Europe,northern,Both,Low,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/4/45/Acer_pseudoplatanus_002.jpg
acer rubrum,red maple,red maple,acer,sapindaceae,sapindales,dicots,maples,,phanerophyte,Kew,tree,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/5/52/Acer_rubrum_001.jpg
acer saccharinum,sugary maple,silver maple,acer,sapindaceae,sapindales,dicots,maples,,phanerophyte,Bermondsey,tree,Eastern United States,North America,northern,Both,Low,None,Widespread/Common,natural,Fast-growing with silvery leaf undersides,https://upload.wikimedia.org/wikipedia/commons/d/d2/Acer_saccharinum_20090423.jpg
acer saccharum,sugar maple,sugar maple,acer,sapindaceae,sapindales,dicots,maples,,phanerophyte,greenwich,tree,Eastern United States,North America,northern,Both,Moderate,Major,Widespread/Common,natural,Primary source of maple syrup,https://upload.wikimedia.org/wikipedia/commons/0/04/Acer_saccharum_1-jgreenlee.jpg
acer spicatum,maple with a spike,mountain maple,acer,sapindaceae,sapindales,dicots,maples,,phanerophyte,charlevoix,tree,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/2/26/Acer_spicatum.jpg
acer tataricum,Tatar maple,tatarian maple,acer,sapindaceae,sapindales,dicots,maples,,phanerophyte,Kew,tree,,Europe,northern,Both,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/3/3f/Acer_tataricum_1.jpg
acer tetramerum,four-part maple,birch-leaf maple,acer,sapindaceae,sapindales,dicots,maples,,phanerophyte,kew,tree,China,East Asia,northern,Cultivated,Low,None,Uncommon,bred,,https://upload.wikimedia.org/wikipedia/commons/b/b7/Acer_tetramerum_var._betulifolium.JPG
achillea filipendulina,achilles that's like meadowsweet,fernleaf yarrow,achillea,asteraceae,asterales,dicots,yarrows,,hemicryptophyte,dorset,herb,Caucasus,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/b/b1/Achillea_filipendulina_002.JPG
achillea millefolium,achilles with a thousand leaves,common yarrow,achillea,asteraceae,asterales,dicots,yarrows,,hemicryptophyte,charlevoix,herb,,Northern Hemisphere,northern,Both,Moderate,Limited,Widespread/Common,natural,Traditional medicinal plant,https://upload.wikimedia.org/wikipedia/commons/0/0a/Achillea_millefolium_20041012_2574.jpg
adansonia digitata,finger-like Adansonia,baobab,adansonia,malvaceae,malvales,dicots,,,phanerophyte,perth,tree,,Africa,southern,Wild,Low,None,Uncommon,natural,Can live over 1000 years,https://upload.wikimedia.org/wikipedia/commons/a/a8/Adansonia_digitata_2.jpg
adenium obesum,fat adenium,desert rose,adenium,apocynaceae,gentianales,dicots,,dog-banes,phanerophyte,Expo,shrub,East Africa,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,Succulent with swollen trunk,https://upload.wikimedia.org/wikipedia/commons/4/48/Adenium_obesum_%27Singapore%27_01.jpg
adiantum capillus-veneris,Venus's hair,southern maidenhair fern,adiantum,pteridaceae,polypodiales,ferns,,,hemicryptophyte,singapore,herb,,Worldwide,both,Wild,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/b/b4/Adiantum_capillus-veneris_1.jpg
adiantum jordanii,Jordan's maidenhair,california maidenhair fern,adiantum,pteridaceae,polypodiales,ferns,,,hemicryptophyte,jakarta,herb,Western United States,North America,northern,Wild,Low,None,Locally common,natural,,https://upload.wikimedia.org/wikipedia/commons/2/2e/Adiantum_jordanii_9.jpg
adonidia merrilii,Merrill's adonidia,manila palm,adonidia,arecaceae,arecales,monocots,,,phanerophyte,singapore,tree,Philippines,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,Red fruits appear around Christmas,https://upload.wikimedia.org/wikipedia/commons/0/0d/Adonidia_merrillii.jpg
adonis aestivalis,summer Adonis,summer pheasant's eye,adonis,ranunculaceae,ranunculales,dicots,,buttercup,hemicryptophyte,Scandinavian forest,herb,,Europe,northern,Wild,Low,None,Uncommon,natural,Annual wildflower,https://upload.wikimedia.org/wikipedia/commons/e/e5/Adonis_aestivalis_flowers.jpg
aechmea bracteata,bracted aechmea,vase bromeliad,aechmea,bromeliaceae,poales,monocots,urn plants,,hemicryptophyte,singapore,herb,Mexico,Central America,northern,Cultivated,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/8/83/Aechmea_bracteata_1.jpg
aechmea fasciata,banded aechmea,urn plant,aechmea,bromeliaceae,poales,monocots,urn plants,bromelias,hemicryptophyte,Amman garden,herb,Brazil,South America,southern,Cultivated,High,Limited,Widespread/Common,bred,Popular houseplant bromeliad,https://upload.wikimedia.org/wikipedia/commons/f/f7/Aechmea_fasciata_-_JBM.jpg
aegle marmelos,marmalade aegle,bael,aegle,rutaceae,sapindales,dicots,,,phanerophyte,yogyakarta,tree,India,South Asia,northern,Both,Low,Limited,Widespread/Common,natural,Sacred tree in Hinduism,https://upload.wikimedia.org/wikipedia/commons/9/9a/Bael_%28Aegle_marmelos%29_tree_at_Narendrapur_W_IMG_4116.jpg
aegopodium podagraria,goat's foot for gout,ground elder,aegopodium,apiaceae,apiales,dicots,,,hemicryptophyte,kintbury,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,Invasive garden weed,https://upload.wikimedia.org/wikipedia/commons/1/1e/Aegopodium_podagraria1.jpg
aeonium arboreum,tree-like aeonium,tree aeonium,aeonium,crassulaceae,saxifragales,dicots,,,phanerophyte,,shrub,Canary Islands,Macaronesia,northern,Cultivated,High,Limited,Widespread/Common,bred,Succulent rosettes on woody stems,https://upload.wikimedia.org/wikipedia/commons/6/63/Aeonium_arboreum_kz1.JPG
aesculus hippocastanum,horse chestnut,horse-chestnut (conker),aesculus,sapindaceae,sapindales,dicots,,soapberry,phanerophyte,around amman,tree,Balkans,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,Seeds used in conkers game,https://upload.wikimedia.org/wikipedia/commons/3/31/Aesculus_hippocastanum_fruit.jpg
aesculus parviflora,small-flowered horse chestnut,bottlebrush buckeye,aesculus,sapindaceae,sapindales,dicots,horse chestnuts,,phanerophyte,london,shrub,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/4/46/Aesculus_parviflora_kz01.jpg
afrocarpus falcatus,sickle-shaped African fruit,common yellowwood,afrocarpus,podocarpaceae,araucariales,conifers,,,phanerophyte,singapore,tree,South Africa,Africa,southern,Both,Low,Limited,Locally common,natural,,https://upload.wikimedia.org/wikipedia/commons/1/1a/Podocarpus-falcatus-20080330.JPG
agapanthus praecox,love flower that develops early,blue lily,agapanthus,amaryllidaceae,asparagales,monocots,,,hemicryptophyte,Kew,herb,South Africa,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/7/75/Agapanthus_praecox_orientalis_Willd_01.jpg
agathis robusta,,queensland kauri,agathis,araucariaceae,araucariales,,,,phanerophyte,sydney,tree,Australia,Oceania,southern,Both,Low,Limited,Locally common,natural,,
agave sisalana,,sisal,agave,asparagaceae,asparagales,monocots,agaves,asparagus,hemicryptophyte,Fifty plants,herb,,Central America,,Cultivated,Moderate,Major,Widespread/Common,bred,,
agave tequilana,,tequila,agave,asparagaceae,asparagales,monocots,agaves,asparagus,hemicryptophyte,Fifty plants,herb,,Central America,,Cultivated,High,Major,Widespread/Common,bred,,
agave vivipara,,century plant,agave,asparagaceae,asparagales,monocots,agaves,asparagus,hemicryptophyte,Turqoise mtn,herb,,Central America,,Both,Moderate,Limited,Widespread/Common,natural,,
agonis flexuosa,bent agonis,wonong,agonis,myrtaceae,myrtales,dicots,,,phanerophyte,perth,tree,Australia,Oceania,southern,Both,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/8/8a/Agonis_flexuosa_01_gnangarra.jpg
ailanthus altissima,tallest tree of heaven,tree of heaven,ailanthus,simaroubaceae,sapindales,dicots,quassia,,phanerophyte,around amman,tree,China,East Asia,northern,Both,Low,None,Widespread/Common,natural,Highly invasive species,https://upload.wikimedia.org/wikipedia/commons/7/7a/Ailanthus_altissima_003.JPG
ajuga reptans,creeping ajuga,common bugle,ajuga,lamiaceae,lamiales,dicots,,,hemicryptophyte,singapore,herb,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/0/08/Ajuga_reptans_1.jpg
albizia julibrissin,silk flower albizia,persian silk tree,albizia,fabaceae,fabales,dicots,albizia,,phanerophyte,around amman,tree,Iran,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/f/f4/Albizia_julibrissin_-_flower.jpg
alcantarea imperialis,,alcantarea imperialis,alcantarea,bromeliaceae,poales,monocots,,,hemicryptophyte,sydney,herb,,South America,southern,Cultivated,High,Limited,Locally common,bred,,
alcea rosa,,hollyhock,alcea,malvaceae,malvales,dicots,hollyhocks,mallows,hemicryptophyte,rum desert,herb,,Asia,northern,Both,High,Limited,Widespread/Common,bred,,
aleurites moluccanus,,candlenut,aleurites,euphorbiaceae,malpighiales,dicots,,,phanerophyte,singapore,tree,,Asia,northern,Both,Low,Limited,Widespread/Common,natural,,
allamanda cathartica,purging allamanda,golden trumpet,allamanda,apocynaceae,gentianales,dicots,,dog-banes,phanerophyte,Expo,shrub,Brazil,South America,southern,Cultivated,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/b/b8/Allamanda_cathartica_-_Kolkata_2004-07-13_01880.JPG
allenrolfea occidentalis,,iodinebush,allenrolfea,amaranthaceae,caryophyllales,dicots,,,phanerophyte,,shrub,Western United States,North America,northern,Wild,Low,None,Locally common,natural,,
alliaria petiolata,,garlic mustard,alliaria,brassicaceae,brassicales,dicots,,,hemicryptophyte,knighton,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
allium ampeloprasum,vine-garden leek,wild leek,allium,amaryllidaceae,asparagales,monocots,alliums,onions,hemicryptophyte,yarmouk river,herb,,Mediterranean,northern,Both,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/9/93/GarlicEle.jpg
allium cepa,onion,onion,allium,amaryllidaceae,asparagales,monocots,alliums,daffodil,hemicryptophyte,Fifty plants,herb,,Asia,northern,Cultivated,High,Major,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/2/25/Onion_on_White.JPG
allium porrum,leek,leek,allium,amaryllidaceae,asparagales,monocots,alliums,daffodil,hemicryptophyte,Fifty plants,herb,,Mediterranean,northern,Cultivated,High,Major,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/4/43/Leek.jpg
allium sativum,cultivated allium,garlic,allium,amaryllidaceae,asparagales,monocots,alliums,daffodil,hemicryptophyte,Fifty plants,herb,Central Asia,Asia,northern,Cultivated,High,Major,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/7/7f/Allium_sativum_003.JPG
allium tuberosum,,,allium,amaryllidaceae,asparagales,monocots,alliums,,geophyte,knighton,herb,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,
alnus glutinosa,sticky alder,black alder,alnus,betulaceae,fagales,dicots,,,phanerophyte,kintbury,tree,,Europe,northern,Both,Low,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/d/d8/Alnus_glutinosa_011.jpg
alnus rhombifolia,,white alder,alnus,betulaceae,fagales,dicots,alders,birches,phanerophyte,rum desert,tree,Western United States,North America,northern,Wild,Low,Limited,Widespread/Common,natural,,
alnus viridis,green alder,green alder,alnus,betulaceae,fagales,dicots,alders,,phanerophyte,charlevoix,tree,,Northern Hemisphere,northern,Wild,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/e/e1/Alnus_viridis.jpg
alocasia odora,,asian taro,alocasia,araceae,alismatales,monocots,,,hemicryptophyte,luang prabang,herb,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
aloe arborescens,tree-like aloe,candelabra aloe,aloe,asphodelaceae,asparagales,monocots,aloes,day-lily,phanerophyte,around amman,shrub,South Africa,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/3/37/Aloe_arborescens_1.jpg
aloe vera,true aloe,aloe vera,aloe,asphodelaceae,asparagales,monocots,aloes,day-lily,hemicryptophyte,Amman garden,herb,Arabian Peninsula,Africa,southern,Cultivated,High,Major,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/4/4b/Aloe_vera_flower_inset.png
alpinia purpurata,,,alpinia,zingiberaceae,zingiberales,monocots,,,hemicryptophyte,bali,herb,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
alpinia zerumbet,,shell ginger,alpinia,zingiberaceae,zingiberales,monocots,,,hemicryptophyte,singapore,herb,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
alstonia scholaris,,milkwood,alstonia,apocynaceae,gentianales,dicots,,,phanerophyte,jakarta,tree,,Asia,northern,Both,Low,Limited,Widespread/Common,natural,,
alstroemeria aurea,golden after Baron Claus Alstroemer,peruvian lily,alstroemeria,alstroemeriaceae,liliales,monocots,,peruvian lillies,hemicryptophyte,Flower bouquet,herb,,South America,southern,Cultivated,High,Limited,Widespread/Common,bred,,
alternanthera brasiliana,,bloodleaf,alternanthera,amaranthaceae,caryophyllales,dicots,,,hemicryptophyte,luang prabang,herb,,South America,southern,Cultivated,High,Limited,Widespread/Common,bred,,
amaranthus cruentus,,,amaranthus,amaranthaceae,caryophyllales,dicots,amaranths,,hemicryptophyte,luang prabang,herb,,Central America,,Both,Moderate,Limited,Widespread/Common,natural,,
amaranthus retroflexus,bent-back amaranth,redroot amaranth,amaranthus,amaranthaceae,caryophyllales,dicots,amaranths,,hemicryptophyte,around amman,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/a/ab/Amaranthus_retroflexus_kz3.jpg
amorpha canescens,,leadplant,amorpha,fabaceae,fabales,dicots,,,phanerophyte,new york,shrub,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
ananas comosus,,pineapple,ananas,bromeliaceae,poales,monocots,pineapples,,hemicryptophyte,jakarta,herb,,South America,southern,Cultivated,High,Major,Widespread/Common,bred,,
anaphalis margaritacea,,pearly everlasting,anaphalis,asteraceae,asterales,dicots,everlastings,,hemicryptophyte,charlevoix,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
anemone coronaria,wind used for wreaths,poppy anemone,anemone,ranunculaceae,ranunculales,dicots,windflowers,buttercup,hemicryptophyte,Scandinavian forest,herb,,Mediterranean,northern,Both,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/7/7e/Anemone_coronaria_2_-_Jerusalem.jpg
anemone hupehensis,"wind from Hubei, China",japanese anemone,anemone,ranunculaceae,ranunculales,dicots,,,hemicryptophyte,london,herb,China,East Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
anethum graveolens,strong-smelling dill,dill,anethum,apiaceae,apiales,dicots,,carrots,hemicryptophyte,Fifty plants,herb,,Mediterranean,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/1/10/Anethum_graveolens_001.JPG
annona glabra,,pond apple,annona,annonaceae,magnoliales,early angiosperms,,,phanerophyte,singapore,tree,,,,Both,Low,Limited,Widespread/Common,natural,,
anthurium andraeanum,,flamingo flower,anthurium,araceae,alismatales,monocots,,,hemicryptophyte,singapore,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
antigonon leptopus,,coral vine,antigonon,polygonaceae,caryophyllales,dicots,,,phanerophyte,luang prabang,vine,,Central America,,Cultivated,Moderate,Limited,Widespread/Common,bred,,
antirrhinum majus,nose-like that's greater,snapdragon,antirrhinum,plantaginaceae,lamiales,dicots,snapdragons,,hemicryptophyte,around amman,herb,,Mediterranean,northern,Cultivated,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/b/b2/Antirrhinum_majus_from_Thasos.JPG
arachis pintoi,,pinto peanut,arachis,fabaceae,fabales,dicots,,,hemicryptophyte,jakarta,herb,,South America,southern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
araucaria araucara,,monkey puzzle,araucaria,araucariaceae,araucariales,conifers,,,phanerophyte,,tree,,South America,southern,Both,Low,Limited,Uncommon,natural,,
araucaria bidwillii,,bunya bunya,araucaria,araucariaceae,araucariales,conifers,,,phanerophyte,Kew,tree,Australia,Oceania,southern,Both,Low,Limited,Uncommon,natural,,
arbutus menziesii,tree after Archibald Menzies,pacific madrone,arbutus,ericaceae,ericales,dicots,madrone,,phanerophyte,nanaimo,tree,Western United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/9/96/Arbutus_menziesii_1.jpg
arctium lappa,bear burr,greater burdock,arctium,asteraceae,asterales,dicots,,,hemicryptophyte,knighton,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/5/58/Arctium_lappa_02_ies.jpg
arctium minus,,lesser burdock,arctium,asteraceae,asterales,dicots,,,hemicryptophyte,knighton,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
armoracia rusticana,rustic armor,horseradish,armoracia,brassicaceae,brassicales,dicots,armoracia,,hemicryptophyte,greenwich,herb,,Europe,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/f/fd/Armoracia_rusticana.jpg
aronia melanocarpa,,black chokeberry,aronia,rosaceae,rosales,dicots,,,phanerophyte,new york,shrub,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,
artemisia herba-alba,,white wormwood,artemisia,asteraceae,asterales,dicots,,,phanerophyte,shaumari reserve,shrub,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,
artemisia pycnocelapha,,beach wormwood,artemisia,asteraceae,asterales,dicots,wormwoods and sagebrushes,,hemicryptophyte,around amman,herb,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,
artemisia vulgaris,common artemisia,common wormwood,artemisia,asteraceae,asterales,dicots,wormwoods and sagebrushes,,hemicryptophyte,charlevoix,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/b/b9/Artemisia_vulgaris_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-016.jpg
artocarpus altilis,nourishing breadfruit,breadfruit,artocarpus,moraceae,rosales,dicots,,,phanerophyte,bandung,tree,New Guinea,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/b/b0/ARS_breadfruit49.jpg
artocarpus heterophyllus,different-leaved breadfruit,jackfruit,artocarpus,moraceae,rosales,dicots,,,phanerophyte,lombok,tree,India,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/b/b7/Jackfruit_hanging.JPG
aruncus dioicus,two-house goat beard,goatsbeard,aruncus,rosaceae,rosales,dicots,rosebeards,,hemicryptophyte,charlevoix,herb,,Northern Hemisphere,northern,Both,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/5/55/Aruncus_dioicus0.jpg
arundina graminifolia,grass-leaved arundina,bamboo orchid,arundina,orchidaceae,asparagales,monocots,,,hemicryptophyte,singapore,herb,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/c/c8/Arundina_graminifolia_2.jpg
asclepias incarnata,flesh-colored milkweed,swamp milkweed,asclepias,apocynaceae,gentianales,dicots,,,hemicryptophyte,new york,herb,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/f/f7/Asclepias_incarnata_-002.JPG
asclepias syriaca,Syrian milkweed,common milkweed,asclepias,apocynaceae,gentianales,dicots,milkweeds,,hemicryptophyte,greenwich,herb,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,Host plant for monarch butterflies,https://upload.wikimedia.org/wikipedia/commons/6/67/Asclepias_syriaca_Seedpod.jpg
asparagus aethiopicus,Ethiopian asparagus,african asparagus,asparagus,asparagaceae,asparagales,monocots,,asparagus,hemicryptophyte,Expo,herb,South Africa,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/0/02/Starr_080117-1577_Asparagus_aethiopicus.jpg
