SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,SPECIFIC LOCATION,GENERAL LOCATION,HEMISPHERE,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS,SOURCE,NOTES,IMAGE
acer campestre,of the fields maple,field maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,kew,tree,Europe,Europe,Northern,Wild,Moderate,Limited,Widespread/Common,natural,Small native European maple; rounded crown; yellow autumn color,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Acer_campestre_001.jpg/1024px-Acer_campestre_001.jpg
acer circinatum,circular maple,vine maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,,shrub,Pacific Northwest,North America,Northern,Wild,Moderate,Limited,Locally common,natural,Multi-stemmed; brilliant orange-red fall color; understory species,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Acer_circinatum_leaves.jpg/1024px-Acer_circinatum_leaves.jpg
acer griseum,grey-bark maple,paperbark maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,kew,tree,Central China,East Asia,Northern,Both,High,Major,Rare,natural,Distinctive peeling cinnamon-colored bark; highly valued ornamental,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Acer_griseum_bark.jpg/1024px-Acer_griseum_bark.jpg
acer japonicum,japanese maple,fullmoon maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,kew,tree,Japan,East Asia,Northern,Both,High,Major,Locally common,natural,Rounded leaves with 7-11 lobes; spectacular autumn colors,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Acer_japonicum_leaves.jpg/1024px-Acer_japonicum_leaves.jpg
acer monspessulanum,from Montpellier maple,montpellier maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,,tree,Mediterranean,Mediterranean,Northern,Wild,Low,None,Widespread/Common,natural,Small three-lobed leaves; drought-tolerant Mediterranean species,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Acer_monspessulanum_leaves.jpg/1024px-Acer_monspessulanum_leaves.jpg
acer negundo,ash-leaved maple,box elder,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,winnipeg,tree,Central North America,North America,Northern,Wild,Low,Limited,Widespread/Common,natural,Compound leaves unusual for maples; fast-growing; dioecious,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Acer_negundo_leaves.jpg/1024px-Acer_negundo_leaves.jpg
acer nigrum,black maple,black maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,,tree,Eastern North America,North America,Northern,Wild,Low,Limited,Widespread/Common,natural,Similar to sugar maple but darker bark; less deeply lobed leaves,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Acer_nigrum_leaves.jpg/1024px-Acer_nigrum_leaves.jpg
acer palmatum,palm-shaped maple,japanese maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,kew,tree,Japan,East Asia,Northern,Both,High,Major,Locally common,natural,Hundreds of cultivars; extremely popular ornamental; diverse leaf forms,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Acer_palmatum_002.jpg/1024px-Acer_palmatum_002.jpg
acer pensylvanicum,pennsylvanian maple,striped maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,,tree,Eastern North America,North America,Northern,Wild,Low,None,Widespread/Common,natural,Distinctive green bark with white stripes; also called moosewood,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Acer_pensylvanicum_bark.jpg/1024px-Acer_pensylvanicum_bark.jpg
acer platanoides,plane-like maple,norway maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,toronto,tree,Northern Europe,Europe,Northern,Both,Moderate,Major,Widespread/Common,natural,Widely planted street tree; can be invasive in North America,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Acer_platanoides_001.jpg/1024px-Acer_platanoides_001.jpg
acer pseudoplatanus,false plane-tree maple,sycamore maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,edinburgh,tree,Central and Southern Europe,Europe,Northern,Both,Moderate,Major,Widespread/Common,natural,Large maple; tolerates wind and salt; important timber species,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Acer_pseudoplatanus_001.jpg/1024px-Acer_pseudoplatanus_001.jpg
acer rubrum,red maple,red maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,boston,tree,Eastern North America,North America,Northern,Wild,Moderate,Major,Widespread/Common,natural,Brilliant red fall color; adaptable to various soil conditions,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Acer_rubrum_001.jpg/1024px-Acer_rubrum_001.jpg
acer saccharinum,sugar-bearing maple,silver maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,toronto,tree,Eastern North America,North America,Northern,Wild,Moderate,Major,Widespread/Common,natural,Fast-growing; deeply lobed leaves with silver undersides,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Acer_saccharinum_001.jpg/1024px-Acer_saccharinum_001.jpg
acer saccharum,sugar maple,sugar maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,quebec,tree,Eastern North America,North America,Northern,Wild,Moderate,Major,Widespread/Common,natural,Source of maple syrup; spectacular fall colors; important timber,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Acer_saccharum_001.jpg/1024px-Acer_saccharum_001.jpg
acer spicatum,spike-flowered maple,mountain maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,chamaephyte,,shrub,Eastern North America,North America,Northern,Wild,Low,None,Widespread/Common,natural,Small understory maple; upright flower clusters; three-lobed leaves,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Acer_spicatum_flowers.jpg/1024px-Acer_spicatum_flowers.jpg
acer tataricum,tatar maple,tatar maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,,tree,Southeastern Europe,Europe,Northern,Both,Moderate,Limited,Locally common,natural,Small tree; unlobed or slightly lobed leaves; red winged seeds,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Acer_tataricum_leaves.jpg/1024px-Acer_tataricum_leaves.jpg
acer tetramerum,four-part maple,four-stamen maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,,tree,China,East Asia,Northern,Wild,Low,None,Locally common,natural,Rare species with distinctive four-part flowers; small leaves,
achillea filipendulina,dropwort-leaved yarrow,fernleaf yarrow,achillea,asteraceae,asterales,dicots,yarrows,aster family,hemicryptophyte,,herb,Central Asia,Asia,Northern,Both,High,Major,Widespread/Common,natural,Tall yellow flower heads; aromatic foliage; popular in dried arrangements,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Achillea_filipendulina_flowers.jpg/1024px-Achillea_filipendulina_flowers.jpg
achillea millefolium,thousand-leaved,common yarrow,achillea,asteraceae,asterales,dicots,yarrows,aster family,hemicryptophyte,,herb,Europe,Europe,Northern,Wild,Moderate,Limited,Widespread/Common,natural,Feathery leaves; white flower clusters; medicinal uses; widely naturalized,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Achillea_millefolium_flowers.jpg/1024px-Achillea_millefolium_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
adansonia digitata,fingered adansonia,african baobab,adansonia,malvaceae,malvales,dicots,baobabs,mallow family,phanerophyte,,tree,Sub-Saharan Africa,Africa,Northern,Wild,Low,Limited,Locally common,natural,Massive trunk stores water; iconic African tree; edible fruit; extremely long-lived,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Adansonia_digitata_001.jpg/1024px-Adansonia_digitata_001.jpg
adenium obesum,fat adenium,desert rose,adenium,apocynaceae,gentianales,dicots,desert roses,dogbane family,chamaephyte,,shrub,Arabia and East Africa,Africa,Northern,Both,High,Major,Locally common,natural,Succulent stem; showy pink flowers; popular succulent houseplant,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Adenium_obesum_flowers.jpg/1024px-Adenium_obesum_flowers.jpg
adiantum capillus-veneris,venus-hair maidenhair,southern maidenhair fern,adiantum,pteridaceae,polypodiales,ferns,maidenhair ferns,maidenhair fern family,hemicryptophyte,,herb,Worldwide tropics,Global,Both,Wild,Moderate,Limited,Widespread/Common,natural,Delicate fan-shaped fronds; grows on limestone; cosmopolitan distribution,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Adiantum_capillus-veneris_fronds.jpg/1024px-Adiantum_capillus-veneris_fronds.jpg
adiantum jordanii,Jordan's maidenhair,california maidenhair,adiantum,pteridaceae,polypodiales,ferns,maidenhair ferns,maidenhair fern family,hemicryptophyte,,herb,California,North America,Northern,Wild,Low,None,Locally common,natural,Endemic to California; grows in moist shaded areas; delicate fronds,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Adiantum_jordanii_fronds.jpg/1024px-Adiantum_jordanii_fronds.jpg
adonidia merrilii,Merrill's adonidia,christmas palm,adonidia,arecaceae,arecales,monocots,adonidia,palm family,phanerophyte,,tree,Philippines,Southeast Asia,Northern,Both,High,Major,Locally common,natural,Small palm with bright red fruits at Christmas; popular landscape palm,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Adonidia_merrillii_fruits.jpg/1024px-Adonidia_merrillii_fruits.jpg
adonis aestivalis,summer adonis,summer pheasant's eye,adonis,ranunculaceae,ranunculales,dicots,pheasant's eyes,buttercup family,therophyte,,herb,Europe,Europe,Northern,Wild,Low,None,Uncommon,natural,Red flowers; feathery leaves; annual; formerly used medicinally,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Adonis_aestivalis_flowers.jpg/1024px-Adonis_aestivalis_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
aechmea bracteata,bracted aechmea,bromeliad,aechmea,bromeliaceae,poales,monocots,aechmeas,bromeliad family,epiphyte,,herb,Central America,Central America,Northern,Both,High,Major,Locally common,natural,Epiphytic bromeliad; colorful bracts; tank bromeliad collecting water,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Aechmea_bracteata_flower.jpg/1024px-Aechmea_bracteata_flower.jpg
aechmea fasciata,banded aechmea,silver vase,aechmea,bromeliaceae,poales,monocots,aechmeas,bromeliad family,epiphyte,,herb,Brazil,South America,Southern,Both,High,Major,Locally common,natural,Popular houseplant bromeliad; silver-banded leaves; pink bracts with blue flowers,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Aechmea_fasciata_flower.jpg/1024px-Aechmea_fasciata_flower.jpg
aegle marmelos,marbled aegle,bael fruit,aegle,rutaceae,sapindales,dicots,bael trees,citrus family,phanerophyte,,tree,Indian Subcontinent,Asia,Northern,Both,Moderate,Limited,Locally common,natural,Sacred to Hindus; hard-shelled edible fruit; medicinal uses,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Aegle_marmelos_fruit.jpg/1024px-Aegle_marmelos_fruit.jpg
aegopodium podagraria,foot-ache ground elder,ground elder,aegopodium,apiaceae,apiales,dicots,goutweed,carrot family,geophyte,,herb,Europe,Europe,Northern,Both,Low,None,Widespread/Common,natural,Aggressive spreader; historically used for gout; edible young leaves,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Aegopodium_podagraria_flowers.jpg/1024px-Aegopodium_podagraria_flowers.jpg
aeonium arboreum,tree-like aeonium,tree houseleek,aeonium,crassulaceae,saxifragales,dicots,aeoniums,stonecrop family,chamaephyte,,shrub,Canary Islands,Atlantic Islands,Northern,Both,High,Major,Locally common,natural,Succulent with rosettes on branched stems; yellow flowers; drought-tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Aeonium_arboreum_rosettes.jpg/1024px-Aeonium_arboreum_rosettes.jpg
aesculus hippocastanum,horse chestnut,horse chestnut,aesculus,sapindaceae,sapindales,dicots,horse chestnuts,soapberry family,phanerophyte,london,tree,Southeastern Europe,Europe,Northern,Both,Moderate,Major,Widespread/Common,natural,Large compound palmate leaves; showy white flower spikes; conkers,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Aesculus_hippocastanum_001.jpg/1024px-Aesculus_hippocastanum_001.jpg
aesculus parviflora,small-flowered buckeye,bottlebrush buckeye,aesculus,sapindaceae,sapindales,dicots,horse chestnuts,soapberry family,chamaephyte,,shrub,Southeastern United States,North America,Northern,Both,High,Limited,Rare,natural,Spreading shrub; long white flower spikes in summer; excellent understory plant,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Aesculus_parviflora_flowers.jpg/1024px-Aesculus_parviflora_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
afrocarpus falcatus,sickle-shaped afrocarpus,sickle-leaved yellowwood,afrocarpus,podocarpaceae,pinales,conifers,afrocarpus,yellowwood family,phanerophyte,,tree,Eastern and Southern Africa,Africa,Southern,Wild,Low,Limited,Locally common,natural,Large African conifer; important timber tree; slow-growing,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Afrocarpus_falcatus_foliage.jpg/1024px-Afrocarpus_falcatus_foliage.jpg
agapanthus praecox,early agapanthus,agapanthus,agapanthus,amaryllidaceae,asparagales,monocots,agapanthus,amaryllis family,geophyte,,herb,South Africa,Africa,Southern,Both,High,Major,Locally common,natural,Blue or white flower clusters; strap-like leaves; popular garden plant,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Agapanthus_praecox_flowers.jpg/1024px-Agapanthus_praecox_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
agathis robusta,robust kauri,queensland kauri,agathis,araucariaceae,pinales,conifers,kauri,araucaria family,phanerophyte,,tree,Queensland Australia,Australia,Southern,Wild,Low,Limited,Locally common,natural,Large Australian conifer; valuable timber; resin historically collected,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Agathis_robusta_trunk.jpg/1024px-Agathis_robusta_trunk.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
agave sisalana,sisal agave,sisal,agave,asparagaceae,asparagales,monocots,agaves,agave family,chamaephyte,,herb,Southern Mexico,Central America,Northern,Both,High,Major,Widespread/Common,natural,Major fiber crop; historically used by Aztecs and Maya; produces sisal hemp fiber,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Agave_sisalana_001.jpg/1024px-Agave_sisalana_001.jpg
agave tequilana,tequila agave,blue agave,agave,asparagaceae,asparagales,monocots,agaves,agave family,chamaephyte,,herb,Western Mexico,Central America,Northern,Both,High,Major,Widespread/Common,bred,Primary source of tequila; blue-tinged leaves; heavily cultivated,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Agave_tequilana_001.jpg/1024px-Agave_tequilana_001.jpg
agave vivipara,viviparous agave,caribbean agave,agave,asparagaceae,asparagales,monocots,agaves,agave family,chamaephyte,,herb,Caribbean,Caribbean,Northern,Wild,Low,None,Locally common,natural,Produces plantlets on flower stalks; smaller than sisal agave,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Agave_vivipara_001.jpg/1024px-Agave_vivipara_001.jpg
agonis flexuosa,flexible agonis,west australian peppermint,agonis,myrtaceae,myrtales,dicots,peppermints,myrtle family,phanerophyte,,tree,Southwestern Australia,Australia,Southern,Both,High,Major,Widespread/Common,natural,Weeping habit; fragrant leaves; known as Wanil to Noongar people; popular street tree,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Agonis_flexuosa_001.jpg/1024px-Agonis_flexuosa_001.jpg
ailanthus altissima,very tall ailanthus,tree of heaven,ailanthus,simaroubaceae,sapindales,dicots,ailanthus,quassia family,phanerophyte,new york,tree,Northern China,East Asia,Northern,Both,Low,None,Widespread/Common,natural,Highly invasive species; extremely fast-growing; difficult to control,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Ailanthus_altissima_001.jpg/1024px-Ailanthus_altissima_001.jpg
ajuga reptans,creeping bugle,bugleweed,ajuga,lamiaceae,lamiales,dicots,bugles,mint family,hemicryptophyte,,herb,Europe,Europe,Northern,Both,High,Limited,Widespread/Common,natural,Ground cover; blue flowers; spreads by runners; popular garden plant,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Ajuga_reptans_flowers.jpg/1024px-Ajuga_reptans_flowers.jpg
albizia julibrissin,silk tree albizia,mimosa,albizia,fabaceae,fabales,dicots,silk trees,legume family,phanerophyte,washington dc,tree,Asia,Asia,Northern,Both,Moderate,Limited,Widespread/Common,natural,Feathery pink flowers; can be invasive; nitrogen-fixing; also called silk tree,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Albizia_julibrissin_flowers.jpg/1024px-Albizia_julibrissin_flowers.jpg
alcantarea imperialis,imperial alcantarea,imperial bromeliad,alcantarea,bromeliaceae,poales,monocots,alcantareas,bromeliad family,epiphyte,,herb,Brazil,South America,Southern,Both,High,Limited,Rare,natural,Largest bromeliad; can reach 1.5m diameter; spectacular flower spike; endangered,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Alcantarea_imperialis_001.jpg/1024px-Alcantarea_imperialis_001.jpg
alcea rosa,rose-like alcea,hollyhock,alcea,malvaceae,malvales,dicots,hollyhocks,mallow family,hemicryptophyte,,herb,Southwestern Asia,Asia,Northern,Both,High,Major,Widespread/Common,bred,Tall spikes of large flowers; many colors; cottage garden favorite; biennial or perennial,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Alcea_rosea_flowers.jpg/1024px-Alcea_rosea_flowers.jpg
aleurites moluccanus,moluccan candle nut,candlenut,aleurites,euphorbiaceae,malpighiales,dicots,candlenuts,spurge family,phanerophyte,,tree,Southeast Asia,Southeast Asia,Northern,Both,Moderate,Limited,Locally common,natural,Nuts used for oil and lighting; state tree of Hawaii; poisonous raw,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Aleurites_moluccanus_nuts.jpg/1024px-Aleurites_moluccanus_nuts.jpg
allamanda cathartica,purgative allamanda,golden trumpet,allamanda,apocynaceae,gentianales,dicots,allamandas,dogbane family,phanerophyte,,vine,South America,South America,Southern,Both,High,Major,Widespread/Common,natural,Bright yellow trumpet flowers; fast-growing vine; all parts toxic,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Allamanda_cathartica_flowers.jpg/1024px-Allamanda_cathartica_flowers.jpg
allenrolfea occidentalis,western allenrolfea,iodinebush,allenrolfea,amaranthaceae,caryophyllales,dicots,iodinebush,amaranth family,chamaephyte,,shrub,Western North America,North America,Northern,Wild,Low,None,Locally common,natural,Salt-tolerant shrub; jointed succulent stems; grows in alkaline soils,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Allenrolfea_occidentalis_001.jpg/1024px-Allenrolfea_occidentalis_001.jpg
alliaria petiolata,garlic mustard with stalks,garlic mustard,alliaria,brassicaceae,brassicales,dicots,garlic mustard,mustard family,hemicryptophyte,,herb,Europe,Europe,Northern,Wild,Low,None,Widespread/Common,natural,Highly invasive biennial; garlic scent when crushed; threatens native plants,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Alliaria_petiolata_flowers.jpg/1024px-Alliaria_petiolata_flowers.jpg
allium ampeloprasum,vineyard onion,wild leek,allium,amaryllidaceae,asparagales,monocots,onions,amaryllis family,geophyte,,herb,Mediterranean,Mediterranean,Northern,Both,High,Major,Widespread/Common,natural,Ancestor of leeks and elephant garlic; large bulb; tall flower heads,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Allium_ampeloprasum_flowers.jpg/1024px-Allium_ampeloprasum_flowers.jpg
allium cepa,bulb onion,onion,allium,amaryllidaceae,asparagales,monocots,onions,amaryllis family,geophyte,,herb,Central Asia,Asia,Northern,Cultivated,High,Major,Widespread/Common,bred,Most important commercial onion; thousands of years of cultivation; many varieties,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Onion_on_White.JPG/1024px-Onion_on_White.JPG
allium porrum,leek onion,leek,allium,amaryllidaceae,asparagales,monocots,onions,amaryllis family,geophyte,,herb,Mediterranean,Mediterranean,Northern,Cultivated,High,Major,Widespread/Common,bred,Flat leaves; mild onion flavor; national symbol of Wales; cool-season crop,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Leeks.jpg/1024px-Leeks.jpg
allium sativum,cultivated onion,garlic,allium,amaryllidaceae,asparagales,monocots,onions,amaryllis family,geophyte,,herb,Central Asia,Asia,Northern,Cultivated,High,Major,Widespread/Common,bred,Bulb composed of cloves; essential culinary ingredient; medicinal properties,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Garlic_Bulbs.jpg/1024px-Garlic_Bulbs.jpg
allium tuberosum,tuberous onion,chinese chives,allium,amaryllidaceae,asparagales,monocots,onions,amaryllis family,geophyte,,herb,East Asia,Asia,Northern,Both,High,Major,Widespread/Common,natural,Flat leaves; white star-shaped flowers; important in Asian cuisine; perennial,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Allium_tuberosum_flowers.jpg/1024px-Allium_tuberosum_flowers.jpg
alnus glutinosa,sticky alder,black alder,alnus,betulaceae,fagales,dicots,alders,birch family,phanerophyte,glasgow,tree,Europe,Europe,Northern,Wild,Low,Limited,Widespread/Common,natural,Tolerates wet soils; nitrogen-fixing; important for wetland restoration,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Alnus_glutinosa_001.jpg/1024px-Alnus_glutinosa_001.jpg
alnus rhombifolia,diamond-leaved alder,white alder,alnus,betulaceae,fagales,dicots,alders,birch family,phanerophyte,,tree,Western North America,North America,Northern,Wild,Low,Limited,Locally common,natural,Rhomboid leaves; riparian species; important for erosion control,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Alnus_rhombifolia_leaves.jpg/1024px-Alnus_rhombifolia_leaves.jpg
alnus viridis,green alder,mountain alder,alnus,betulaceae,fagales,dicots,alders,birch family,chamaephyte,,shrub,Northern Hemisphere,Global,Northern,Wild,Low,None,Widespread/Common,natural,Shrub form; mountain and subarctic habitats; nitrogen-fixing pioneer,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Alnus_viridis_001.jpg/1024px-Alnus_viridis_001.jpg
alocasia odora,fragrant alocasia,giant upright elephant ear,alocasia,araceae,alismatales,monocots,elephant ears,aroid family,geophyte,,herb,Southeast Asia,Southeast Asia,Northern,Both,High,Major,Locally common,natural,Large upright leaves; fragrant flowers; popular houseplant; toxic sap,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Alocasia_odora_leaves.jpg/1024px-Alocasia_odora_leaves.jpg
aloe arborescens,tree-like aloe,torch aloe,aloe,asphodelaceae,asparagales,monocots,aloes,asphodel family,chamaephyte,,shrub,South Africa,Africa,Southern,Both,High,Major,Locally common,natural,Branching succulent; orange-red flower spikes; medicinal uses; drought-tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Aloe_arborescens_flowers.jpg/1024px-Aloe_arborescens_flowers.jpg
