SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,GEOGRAPHIC ORIGIN,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS
acer rubrum,red maple,red maple,acer,sapindaceae,sapindales,dicots,maples,,tree,Kew,tree,Eastern North America,Both,Moderate,Limited,Widespread/Common
acer saccharinum,sugary maple,silver maple,acer,sapindaceae,sapindales,dicots,maples,,tree,Bermondsey,tree,Eastern North America,Both,Low,None,Widespread/Common
acer saccharum,,sugar maple,acer,sapindaceae,sapindales,dicots,maples,,tree,greenwich,tree,Eastern North America,Both,Moderate,Major,Widespread/Common
acer spicatum,maple with a spike,mountain maple,acer,sapindaceae,sapindales,dicots,maples,,tree,charlevoix,tree,Eastern North America,Wild,Low,None,Widespread/Common
acer tataricum,,tatarian maple,acer,sapindaceae,sapindales,dicots,maples,,tree,Kew,tree,Europe,Both,Low,None,Widespread/Common
acer tetramerum,,birch-leaf maple,acer,sapindaceae,sapindales,dicots,maples,,tree,kew,tree,China,Cultivated,Low,None,Uncommon
achillea filipendulina,achilles that's like meadowsweet,fernleaf yarrow,achillea,asteraceae,asterales,dicots,yarrows,,,dorset,herb,Central Asia,Both,Moderate,Limited,Widespread/Common
achillea millefolium,achilles with a thousand leaves,common yarrow,achillea,asteraceae,asterales,dicots,yarrows,,,charlevoix,herb,Northern Hemisphere,Both,Moderate,Limited,Widespread/Common
,,,aconitum,ranunculaceae,ranunculales,dicots,monkshood,,,NA,herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
adansonia digitata,,baobab,adansonia,malvaceae,malvales,dicots,,,,perth,tree,Africa,Wild,Low,None,Uncommon
adenium obesum,,desert rose,adenium,apocynaceae,gentianales,dicots,,dog-banes,,Expo,shrub,Africa,Cultivated,High,Limited,Widespread/Common
adiantum capillus-veneris,,southern maidenhair fern,adiantum,pteridaceae,polypodiales,ferns,,,,singapore,herb,Worldwide temperate,Wild,Moderate,Limited,Widespread/Common
adiantum jordanii,,california maidenhair fern,adiantum,pteridaceae,polypodiales,ferns,,,,jakarta,herb,Western North America,Wild,Low,None,Locally common
adonidia merrilii,,manila palm,adonidia,arecaceae,arecales,monocots,,,,singapore,tree,Southeast Asia,Cultivated,High,Limited,Widespread/Common
adonis aestivalis,,summer pheasant's eye,adonis,ranunculaceae,ranunculales,dicots,,buttercup,,Scandinavian forest,herb,Europe,Wild,Low,None,Uncommon
,,,adoxa,adoxaceae,dipsacales,dicots,,,,NA,herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
aechmea bracteata,,vase bromeliad,aechmea,bromeliaceae,poales,monocots,urn plants,,,singapore,herb,Central America,Cultivated,High,Limited,Widespread/Common
aechmea fasciata,,urn plant,aechmea,bromeliaceae,poales,monocots,urn plants,bromelias,,Amman garden,herb,South America,Cultivated,High,Limited,Widespread/Common
aegle marmelos,,bael,aegle,rutaceae,sapindales,dicots,,,,yogyakarta,tree,Indian Subcontinent,Both,Low,Limited,Widespread/Common
aegopodium podagraria,,ground elder,aegopodium,apiaceae,apiales,dicots,,,,kintbury,herb,Europe,Wild,Low,None,Widespread/Common
aeonium arboreum,,tree aeonium,aeonium,crassulaceae,saxifragales,dicots,,,,NA,shrub,Canary Islands,Cultivated,High,Limited,Widespread/Common
aesculus hippocastanum,,horse-chestnut (conker),aesculus,sapindaceae,sapindales,dicots,,soapberry,tree,around amman,tree,Europe,Both,Moderate,Limited,Widespread/Common
aesculus parviflora,,bottlebrush buckeye,aesculus,sapindaceae,sapindales,dicots,horse chestnuts,,tree,london,shrub,Eastern North America,Both,Moderate,Limited,Widespread/Common
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
afrocarpus falcatus,,common yellowwood,afrocarpus,podocarpaceae,araucariales,conifers,,,,singapore,tree,Africa,Both,Low,Limited,Locally common
agapanthus praecox,love flower that develops early,blue lily,agapanthus,amaryllidaceae,asparagales,monocots,,,,Kew,herb,Africa,Cultivated,High,Limited,Widespread/Common
,,,agastache,lamiaceae,lamiales,dicots,giant hyssops,,,NA,herb,North America,Both,Moderate,Limited,Widespread/Common
agathis robusta,,queensland kauri,agathis,araucariaceae,araucariales,,,,,sydney,tree,Australia,Both,Low,Limited,Locally common
,,,agathis,araucariaceae,araucariales,conifers,kauri,,tree,NA,tree,Southern Hemisphere,Both,Low,Limited,Locally common
agave sisalana,,sisal,agave,asparagaceae,asparagales,monocots,agaves,asparagus,,Fifty plants,herb,Central America,Cultivated,Moderate,Major,Widespread/Common
agave tequilana,,tequila,agave,asparagaceae,asparagales,monocots,agaves,asparagus,,Fifty plants,herb,Central America,Cultivated,High,Major,Widespread/Common
agave vivipara,,century plant,agave,asparagaceae,asparagales,monocots,agaves,asparagus,,Turqoise mtn,herb,Central America,Both,Moderate,Limited,Widespread/Common
agonis flexuosa,,wonong,agonis,myrtaceae,myrtales,dicots,,,,perth,tree,Australia,Both,Moderate,Limited,Widespread/Common
ailanthus altissima,,tree of heaven,ailanthus,simaroubaceae,sapindales,dicots,quassia,,tree,around amman,tree,China,Both,Low,None,Widespread/Common
ajuga reptans,,common bugle,ajuga,lamiaceae,lamiales,dicots,,,,singapore,herb,Europe,Both,Moderate,Limited,Widespread/Common
albizia julibrissin,,persian silk tree,albizia,fabaceae,fabales,dicots,albizia,,tree,around amman,tree,Asia,Both,Moderate,Limited,Widespread/Common
alcantarea imperialis,,alcantarea imperialis,alcantarea,bromeliaceae,poales,monocots,,,,sydney,herb,South America,Cultivated,High,Limited,Locally common
alcea rosa,,hollyhock,alcea,malvaceae,malvales,dicots,hollyhocks,mallows,,rum desert,herb,Asia,Both,High,Limited,Widespread/Common
aleurites moluccanus,,candlenut,aleurites,euphorbiaceae,malpighiales,dicots,,,,singapore,tree,Southeast Asia,Both,Low,Limited,Widespread/Common
allamanda cathartica,,golden trumpet,allamanda,apocynaceae,gentianales,dicots,,dog-banes,,Expo,shrub,South America,Cultivated,High,Limited,Widespread/Common
allenrolfea occidentalis,,iodinebush,allenrolfea,amaranthaceae,caryophyllales,dicots,,,,NA,shrub,Western North America,Wild,Low,None,Locally common
alliaria petiolata,,garlic mustard,alliaria,brassicaceae,brassicales,dicots,,,,knighton,herb,Europe,Wild,Low,None,Widespread/Common
allium ampeloprasum,,wild leek,allium,amaryllidaceae,asparagales,monocots,alliums,onions,,yarmouk river,herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
allium cepa,,onion,allium,amaryllidaceae,asparagales,monocots,alliums,daffodil,,Fifty plants,herb,Central Asia,Cultivated,High,Major,Widespread/Common
allium porrum,,leek,allium,amaryllidaceae,asparagales,monocots,alliums,daffodil,,Fifty plants,herb,Mediterranean,Cultivated,High,Major,Widespread/Common
allium sativum,,garlic,allium,amaryllidaceae,asparagales,monocots,alliums,daffodil,,Fifty plants,herb,Central Asia,Cultivated,High,Major,Widespread/Common
allium tuberosum,,,allium,amaryllidaceae,asparagales,monocots,alliums,,,knighton,herb,Asia,Both,Moderate,Limited,Widespread/Common
alnus glutinosa,,black alder,alnus,betulaceae,fagales,dicots,,,tree,kintbury,tree,Europe,Both,Low,Limited,Widespread/Common
alnus rhombifolia,,white alder,alnus,betulaceae,fagales,dicots,alders,birches,tree,rum desert,tree,Western North America,Wild,Low,Limited,Widespread/Common
alnus viridis,,green alder,alnus,betulaceae,fagales,dicots,alders,,tree,charlevoix,tree,Northern Hemisphere,Wild,Low,None,Widespread/Common
alocasia odora,,asian taro,alocasia,araceae,alismatales,monocots,,,,luang prabang,herb,Southeast Asia,Cultivated,High,Limited,Widespread/Common
aloe arborescens,,candelabra aloe,aloe,asphodelaceae,asparagales,monocots,aloes,day-lily,,around amman,shrub,Africa,Cultivated,High,Limited,Widespread/Common
aloe vera,,aloe vera,aloe,asphodelaceae,asparagales,monocots,aloes,day-lily,,Amman garden,herb,Africa,Cultivated,High,Major,Widespread/Common
alpinia purpurata,,,alpinia,zingiberaceae,zingiberales,monocots,,,,bali,herb,Southeast Asia,Cultivated,High,Limited,Widespread/Common
alpinia zerumbet,,shell ginger,alpinia,zingiberaceae,zingiberales,monocots,,,,singapore,herb,Southeast Asia,Cultivated,High,Limited,Widespread/Common
alstonia scholaris,,milkwood,alstonia,apocynaceae,gentianales,dicots,,,,jakarta,tree,Southeast Asia,Both,Low,Limited,Widespread/Common
alstroemeria aurea,golden after Baron Claus Alstroemer,peruvian lily,alstroemeria,alstroemeriaceae,liliales,monocots,,peruvian lillies,,Flower bouquet,herb,South America,Cultivated,High,Limited,Widespread/Common
alternanthera brasiliana,,bloodleaf,alternanthera,amaranthaceae,caryophyllales,dicots,,,,luang prabang,herb,South America,Cultivated,High,Limited,Widespread/Common
,,,althaea,malvaceae,malvales,dicots,mallow,,,NA,herb,Europe,Both,Moderate,Limited,Widespread/Common
amaranthus cruentus,,,amaranthus,amaranthaceae,caryophyllales,dicots,amaranths,,,luang prabang,herb,Central America,Both,Moderate,Limited,Widespread/Common
amaranthus retroflexus,,redroot amaranth,amaranthus,amaranthaceae,caryophyllales,dicots,amaranths,,,around amman,herb,North America,Wild,Low,None,Widespread/Common
,,,amaryllis,amaryllidaceae,asparagales,monocots,naked ladies,,,NA,herb,Africa,Cultivated,High,Limited,Widespread/Common
amorpha canescens,,leadplant,amorpha,fabaceae,fabales,dicots,,,,new york,shrub,North America,Wild,Low,None,Widespread/Common
ananas comosus,,pineapple,ananas,bromeliaceae,poales,monocots,pineapples,,,jakarta,herb,South America,Cultivated,High,Major,Widespread/Common
anaphalis margaritacea,,pearly everlasting,anaphalis,asteraceae,asterales,dicots,everlastings,,,charlevoix,herb,North America,Wild,Low,None,Widespread/Common
anemone coronaria,wind used for wreaths,poppy anemone,anemone,ranunculaceae,ranunculales,dicots,windflowers,buttercup,,Scandinavian forest,herb,Mediterranean,Both,High,Limited,Widespread/Common
anemone hupehensis,"wind from Hubei, China",japanese anemone,anemone,ranunculaceae,ranunculales,dicots,,,,london,herb,China,Cultivated,High,Limited,Widespread/Common
anethum graveolens,,dill,anethum,apiaceae,apiales,dicots,,carrots,,Fifty plants,herb,Mediterranean,Cultivated,Moderate,Limited,Widespread/Common
,,,angostura,rutaceae,sapindales,dicots,,,,NA,tree,South America,Both,Low,Limited,Uncommon
annona glabra,,pond apple,annona,annonaceae,magnoliales,early angiosperms,,,,singapore,tree,Americas,Both,Low,Limited,Widespread/Common
anthurium andraeanum,,flamingo flower,anthurium,araceae,alismatales,monocots,,,,singapore,herb,Central America,Cultivated,High,Limited,Widespread/Common
,,,anthurium,araceae,alismatales,monocots,flamingo flower,,,NA,herb,Central America,Cultivated,High,Limited,Widespread/Common
antigonon leptopus,,coral vine,antigonon,polygonaceae,caryophyllales,dicots,,,,luang prabang,vine,Central America,Cultivated,Moderate,Limited,Widespread/Common
antirrhinum majus,nose-like that's greater,snapdragon,antirrhinum,plantaginaceae,lamiales,dicots,snapdragons,,,around amman,herb,Mediterranean,Cultivated,High,Limited,Widespread/Common
,,,apium,apiaceae,apiales,dicots,celery,,,NA,herb,Mediterranean,Cultivated,High,Major,Widespread/Common
,,,aquilegia,ranunculaceae,ranunculales,dicots,columbine,,,NA,herb,Northern Hemisphere,Both,High,Limited,Widespread/Common
arachis pintoi,,pinto peanut,arachis,fabaceae,fabales,dicots,,,,jakarta,herb,South America,Cultivated,Moderate,Limited,Widespread/Common
,,,aralia,araliaceae,apiales,dicots,spikenard,,,NA,herb,Asia,Both,Moderate,Limited,Widespread/Common
araucaria araucara,,monkey puzzle,araucaria,araucariaceae,araucariales,conifers,,,tree,NA,tree,South America,Both,Low,Limited,Uncommon
araucaria bidwillii,,bunya bunya,araucaria,araucariaceae,araucariales,conifers,,,tree,Kew,tree,Australia,Both,Low,Limited,Uncommon
arbutus menziesii,tree after Archibald Menzies,pacific madrone,arbutus,ericaceae,ericales,dicots,madrone,,tree,nanaimo,tree,Western North America,Wild,Low,None,Widespread/Common
arctium lappa,,greater burdock,arctium,asteraceae,asterales,dicots,,,,knighton,herb,Europe,Wild,Low,None,Widespread/Common
arctium minus,,lesser burdock,arctium,asteraceae,asterales,dicots,,,,knighton,herb,Europe,Wild,Low,None,Widespread/Common
,,,ardisia,primulaceae,ericales,dicots,coralberry,,,NA,shrub,Asia,Both,Moderate,Limited,Widespread/Common
,,,areca,arecaceae,arecales,monocots,betel palms,,,NA,tree,Southeast Asia,Both,Moderate,Limited,Widespread/Common
,,,arenaria,caryophyllaceae,caryophyllales,dicots,sandworts,,,NA,herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
,,,arisaema,araceae,alismatales,monocots,cobra lilies,,,NA,herb,Asia,Wild,Moderate,Limited,Widespread/Common
armoracia rusticana,,horseradish,armoracia,brassicaceae,brassicales,dicots,armoracia,,,greenwich,herb,Europe,Cultivated,Moderate,Limited,Widespread/Common
aronia melanocarpa,,black chokeberry,aronia,rosaceae,rosales,dicots,,,,new york,shrub,Eastern North America,Both,Moderate,Limited,Widespread/Common
artemisia herba-alba,,white wormwood,artemisia,asteraceae,asterales,dicots,,,,shaumari reserve,shrub,Mediterranean,Wild,Low,None,Widespread/Common
artemisia pycnocelapha,,beach wormwood,artemisia,asteraceae,asterales,dicots,wormwoods and sagebrushes,,,around amman,herb,Mediterranean,Wild,Low,None,Widespread/Common
artemisia vulgaris,,common wormwood,artemisia,asteraceae,asterales,dicots,wormwoods and sagebrushes,,,charlevoix,herb,Europe,Wild,Low,None,Widespread/Common
artocarpus altilis,,breadfruit,artocarpus,moraceae,rosales,dicots,,,,bandung,tree,Southeast Asia,Cultivated,Moderate,Limited,Widespread/Common
artocarpus heterophyllus,,,artocarpus,moraceae,rosales,dicots,,,,lombok,tree,Southeast Asia,Cultivated,Moderate,Limited,Widespread/Common
,,,arum,araceae,alismatales,monocots,arum lilies,,,NA,herb,Europe,Both,Moderate,Limited,Widespread/Common
aruncus dioicus,,goatsbeard,aruncus,rosaceae,rosales,dicots,rosebeards,,,charlevoix,herb,Northern Hemisphere,Both,Moderate,Limited,Widespread/Common
arundina graminifolia,,bamboo orchid,arundina,orchidaceae,asparagales,monocots,,,,singapore,herb,Southeast Asia,Cultivated,High,Limited,Widespread/Common
asclepias incarnata,,swamp milkweed,asclepias,apocynaceae,gentianales,dicots,,,,new york,herb,Eastern North America,Both,Moderate,Limited,Widespread/Common
asclepias syriaca,,common milkweed,asclepias,apocynaceae,gentianales,dicots,milkweeds,,,greenwich,herb,Eastern North America,Wild,Low,None,Widespread/Common
asparagus aethiopicus,,african asparagus,asparagus,asparagaceae,asparagales,monocots,,asparagus,,Expo,herb,Africa,Cultivated,High,Limited,Widespread/Common
asphodelus fistulosus,,onion-leafed asphodel,asphodelus,asphodelaceae,asparagales,monocots,,,,Kew,herb,Mediterranean,Wild,Low,None,Widespread/Common
asphodelus ramosus,,branched asphodel,asphodelus,asphodelaceae,asparagales,monocots,,day-lily,,Scandinavian forest,herb,Mediterranean,Wild,Low,None,Widespread/Common
,,,aspidistra,asparagaceae,asparagales,monocots,cast iron plant,,,NA,herb,Asia,Cultivated,Moderate,Limited,Widespread/Common
asplenium nidus,,birds nest fern,asplenium,aspleniacea,polypodiales,ferns,,,,jakarta,herb,Tropical worldwide,Cultivated,High,Limited,Widespread/Common
,,,aster,asteraceae,asterales,dicots,michaelmas daisy,,,NA,herb,North America,Both,High,Limited,Widespread/Common
athyrium niponicum,,japanese painted fern,athyrium,athyriaceae,polypodiales,ferns,,,,knighton,herb,Asia,Cultivated,High,Limited,Widespread/Common
atriplex halimus,,saltbush,atriplex,amaranthaceae,caryophyllales,dicots,,,halophyte,shaumari reserve,shrub,Mediterranean,Wild,Low,None,Widespread/Common
atriplex lentiformis,,big saltbush,atriplex,amaranthaceae,caryophyllales,dicots,,amaranth,halophyte,Expo,shrub,Western North America,Wild,Low,None,Widespread/Common
,,,atropa,solanaceae,solanales,dicots,nightshade,,,NA,herb,Europe,Wild,Low,None,Uncommon
austrocylindropuntia subulata,,eve's needle cactus,austrocylindropuntia,cactaceae,caryophyllales,dicots,,cactus,,Turqoise mtn,shrub,South America,Cultivated,Moderate,Limited,Widespread/Common
avena sativa,,oats,avena,poaceae,poales,monocots,,grasses,,Fifty plants,herb,Mediterranean,Cultivated,High,Major,Widespread/Common
averrhoa carambola,,star fruit,averrhoa,oxalidaceae,oxalidales,dicots,,,,jember,tree,Southeast Asia,Cultivated,Moderate,Limited,Widespread/Common
avicennia officinalis,,indian mangrove,avicennia,acanthaceae,lamiales,dicots,mangroves,mangroves,tree,online,tree,Indian Ocean,Wild,Low,None,Locally common
bambusa vulgaris,,bamboo,bambusa,poaceae,poales,monocots,bamboos,,,luang prabang,herb,Asia,Both,Moderate,Major,Widespread/Common
banksia ericafolia,,lantern banksia,banksia,proteaceae,proteales,dicots,,,,perth,shrub,Australia,Wild,Low,None,Widespread/Common
banksia integrifolia,,coastal banksia,banksia,proteaceae,proteales,dicots,,,,Kew,tree,Australia,Both,Low,None,Widespread/Common
banksia robur,,swamp banksia,banksia,proteaceae,proteales,dicots,,,,sydney,shrub,Australia,Wild,Low,None,Locally common
banksia serrata,,old man banksia,banksia,proteaceae,proteales,dicots,,,,Kew,tree,Australia,Wild,Low,None,Widespread/Common
baptisia alba,,white wild indigo,baptisia,fabaceae,fabales,dicots,,,,new york,herb,Eastern North America,Both,Moderate,Limited,Widespread/Common
basella alba,,malabar spinach,basella,basellaceae,caryophyllales,dicots,basella,,,around amman,herb,Asia,Cultivated,Moderate,Limited,Widespread/Common
bauhinia variegata,,orchid tree,bauhinia,fabaceae,fabales,dicots,,,tree,kintbury,tree,Asia,Cultivated,High,Limited,Widespread/Common
bauhinia x blakeana,,hong kong orchid tree,bauhinia,fabaceae,fabales,dicots,,,,jakarta,tree,Asia,Cultivated,High,Limited,Widespread/Common
beaucarnea reurverata,,elephants foot,beaucarnea,asparagaceae,asparagales,monocots,,asparagus,,office,tree,Central America,Cultivated,High,Limited,Widespread/Common
begonia cucullata,,clubbed begonia,begonia,begoniaceae,cucurbitales,dicots,,,,kintbury,herb,South America,Cultivated,High,Limited,Widespread/Common
begonia formosana,,clubbed begonia,begonia,begoniaceae,cucurbitales,dicots,,,,singapore,herb,Asia,Cultivated,High,Limited,Widespread/Common
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
,,,bellis,asteraceae,asterales,dicots,daisies,,,NA,herb,Europe,Both,High,Limited,Widespread/Common
berberis darwinii,,darwins barberry,berberis,berberidaceae,ranunculales,dicots,,,,london,shrub,South America,Both,Moderate,Limited,Widespread/Common
berberis thunbergii,,red barberry,berberis,berberidaceae,ranunculales,dicots,,,,knighton,shrub,Asia,Both,High,Limited,Widespread/Common
,,,berberis,berberidaceae,ranunculales,dicots,barberries,,,NA,shrub,Northern Hemisphere,Both,Moderate,Limited,Widespread/Common
,,,beta,amaranthaceae,caryophyllales,dicots,beets,,,NA,herb,Mediterranean,Cultivated,High,Major,Widespread/Common
betula nigra,,river birch,betula,betulaceae,fagales,dicots,birches,,tree,charlevoix,tree,Eastern North America,Both,Moderate,Limited,Widespread/Common
betula pendula,,silver birch,betula,betulaceae,fagales,dicots,birches,birches,tree,online,tree,Europe,Both,Moderate,Limited,Widespread/Common
betula populifolia,,gray birch,betula,betulaceae,fagales,dicots,birches,,tree,greenwich,tree,Eastern North America,Wild,Low,None,Widespread/Common
bidens pilosa,,black-jack,bidens,asteraceae,asterales,dicots,,,,luang prabang,herb,Americas,Wild,Low,None,Widespread/Common
bismarckia nobilis,,bismarck palm,bismarckia,arecaceae,arecales,monocots,,,,NA,tree,Madagascar,Cultivated,High,Limited,Uncommon
blechnum penna-marina,,alpine hard fern,blechnum,blechnaceae,polypodiales,ferns,,,,perth,herb,Southern Hemisphere,Wild,Low,None,Widespread/Common
bocconia frutescens,,tree poppy,bocconia,papaveraceae,ranunculales,dicots,,,,singapore,shrub,Central America,Cultivated,Low,None,Widespread/Common
boehmeria nivea,,ramie,boehmeria,urticaceae,rosales,dicots,,,,luang prabang,herb,Asia,Cultivated,Moderate,Limited,Widespread/Common
,,,borago,boraginaceae,boraginales,dicots,borage,,,NA,herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
bougainvillea glabra,,lesser bougainvillea,bougainvillea,nyctaginaceae,caryophyllales,dicots,bougainvilleas,,,around amman,vine,South America,Cultivated,High,Limited,Widespread/Common
bougainvillea spectabilis,,bougainvillea,bougainvillea,nyctaginaceae,caryophyllales,dicots,,four-o'clocks,,Kempinski,vine,South America,Cultivated,High,Limited,Widespread/Common
,,,bowenia,stangeriaceae,cycadales,cycads,,,,NA,herb,Australia,Wild,Low,None,Rare
brassica oleracea,,cabbage,brassica,brassicaceae,brassicales,dicots,cabbages,mustard and cabbage,,Fifty plants,herb,Mediterranean,Cultivated,High,Major,Widespread/Common
bromus tectorum,,cheat grass,bromus,poaceae,poales,monocots,grasses,grasses,,amman,herb,Europe,Wild,Low,None,Widespread/Common
brugmansia arborea,,angel's trumpet,brugmansia,solanaceae,solanales,dicots,,,,NA,shrub,South America,Cultivated,High,Limited,Widespread/Common
brugmansia sanguinea,,red angels trumpet,brugmansia,solanaceae,solanales,dicots,angels trumpets,,,Kew,shrub,South America,Cultivated,High,Limited,Widespread/Common
buddleja davidii,,butterfly bush,buddleja,scrophulariaceae,lamiales,dicots,butterfly bushes,,,Bermondsey,shrub,China,Both,High,Limited,Widespread/Common
,,,bulbine,asphodelaceae,asparagales,monocots,,,,NA,herb,Africa,Both,Moderate,Limited,Widespread/Common
buxus sempervirens,,common box,buxus,buxaceae,buxales,dicots,,,,NA,shrub,Europe,Both,High,Limited,Widespread/Common
caesalpinia pulcherrima,,peacock flower,caesalpinia,fabaceae,fabales,dicots,,,,singapore,shrub,Central America,Cultivated,High,Limited,Widespread/Common
caesalpinia sclerocarpa,,,caesalpinia,fabaceae,fabales,dicots,,,,perth,shrub,Australia,Wild,Low,None,Widespread/Common
caladium bicolor,,heart of jesus,caladium,araceae,alismatales,monocots,,,,singapore,herb,South America,Cultivated,High,Limited,Widespread/Common
calamagrostis canadensis,,canadian reedgrass,calamagrostis,poaceae,poales,monocots,,,,knighton,herb,North America,Wild,Low,None,Widespread/Common
,,,calamagrostis,poaceae,poales,monocots,reed grass,,,NA,herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
,,,calamus,arecaceae,arecales,monocots,rattan palms,,,NA,vine,Southeast Asia,Both,Low,Limited,Widespread/Common
calendula arvensis,,field marigold,calendula,asteraceae,asterales,dicots,,daisy and sunflower,,Scandinavian forest,herb,Mediterranean,Wild,Low,None,Widespread/Common
calendula officinalis,,field marigold,calendula,asteraceae,asterales,dicots,,,,dorset,herb,Mediterranean,Cultivated,High,Limited,Widespread/Common
calliandra haematocephala,,scarlet powder-puff,calliandra,fabaceae,fabales,dicots,,legumes,,yarmouk river,shrub,Central America,Cultivated,High,Limited,Widespread/Common
callianthe megapotamica,,trailling abutilon,callianthe,malvaceae,malvales,dicots,,,,singapore,shrub,South America,Cultivated,Moderate,Limited,Widespread/Common
,,,callistemon,myrtaceae,myrtales,dicots,bottlebrushes,,,NA,shrub,Australia,Both,High,Limited,Widespread/Common
calluna vulgaris,,common heather,calluna,ericaceae,ericales,dicots,ling,,,NA,shrub,Europe,Wild,Moderate,Limited,Widespread/Common
calocedrus decurrens,,california incense-cedar,calocedrus,cupressaceae,cupressales,conifers,incense cedars,,tree,Kew,tree,Western North America,Both,Low,Limited,Widespread/Common
calocedrus formosana,,taiwan incense cedar,calocedrus,cupressaceae,cupressales,conifers,incense cedars,,tree,kew,tree,Taiwan,Both,Low,None,Locally common
,,,calochortus,liliaceae,liliales,monocots,mariposa lilies,,,NA,herb,Western North America,Wild,Moderate,Limited,Widespread/Common
calophyllum inophyllum,,tamanu,calophyllum,calophyllaceae,malpighiales,dicots,,,,singapore,tree,Indian Ocean,Both,Low,Limited,Widespread/Common
calotropis gigantea,,crown flower,calotropis,apocynaceae,gentianales,dicots,,,,timor leste,shrub,Asia,Both,Low,None,Widespread/Common
