
SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,GEOGRAPHIC ORIGIN,SPECIFIC LOCATION,GENERAL LOCATION,HEMISPHERE,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS,SOURCE,NOTES,IMAGE
acca sellowiana,,feijoa,acca,myrtaceae,myrtales,dicots,feijoas,myrtles,,Expo,shrub,South America,,South America,Southern,Cultivated,High,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/5/53/Feijoa_sellowiana_Raf_Cyprus_2010.jpg
acer campestre,,field maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,kintbury,tree,Europe,,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
acer circinatum,,vine maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,Kew,tree,Western North America,,North America,Northern,Both,Low,None,Widespread/Common,natural,,
acer griseum,grey maple,paper bark maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,kew,tree,China,China,Asia,Northern,Cultivated,High,Limited,Locally common,natural,,
acer japonicum,maple from Japan,downy japanese maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,kew,tree,Japan,Japan,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
acer monspessulanum,,montpellier maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,,knighton,tree,Mediterranean,,Mediterranean,Northern,Both,Low,None,Widespread/Common,natural,,
acer negundo,,ashleaf maple,acer,sapindaceae,sapindales,dicots,maples,soapberry,phanerophyte,amman,tree,Eastern North America,,North America,Northern,Both,Low,None,Widespread/Common,natural,,
acer nigrum,,black maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,Kew,tree,Eastern North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
acer palmatum,,japanese maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,Kew,tree,Japan,Japan,Asia,Northern,Cultivated,High,Major,Widespread/Common,natural,,
acer pensylvanicum,maple from Pennsylvania,striped maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,charlevoix,tree,Eastern North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
acer platanoides,maple that's like a plane tree,norway maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,Kew,tree,Europe,,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
acer pseudoplatanus,,sycamore maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,kintbury,tree,Europe,,Europe,Northern,Both,Low,Limited,Widespread/Common,natural,,
acer rubrum,red maple,red maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,Kew,tree,Eastern North America,,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
acer saccharinum,sugary maple,silver maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,Bermondsey,tree,Eastern North America,,North America,Northern,Both,Low,None,Widespread/Common,natural,,
acer saccharum,,sugar maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,greenwich,tree,Eastern North America,,North America,Northern,Both,Moderate,Major,Widespread/Common,natural,,
acer spicatum,maple with a spike,mountain maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,charlevoix,tree,Eastern North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
acer tataricum,,tatarian maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,Kew,tree,Europe,,Europe,Northern,Both,Low,None,Widespread/Common,natural,,
acer tetramerum,,birch-leaf maple,acer,sapindaceae,sapindales,dicots,maples,soapberry family,phanerophyte,kew,tree,China,China,Asia,Northern,Cultivated,Low,None,Uncommon,natural,,
achillea filipendulina,achilles that's like meadowsweet,fernleaf yarrow,achillea,asteraceae,asterales,dicots,yarrows,daisy family,,dorset,herb,Central Asia,,Central Asia,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
achillea millefolium,achilles with a thousand leaves,common yarrow,achillea,asteraceae,asterales,dicots,yarrows,daisy family,,charlevoix,herb,Northern Hemisphere,,,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
,,,aconitum,ranunculaceae,ranunculales,dicots,monkshood,,,,herb,Northern Hemisphere,,,Northern,Wild,Low,None,Widespread/Common,natural,,
adansonia digitata,,baobab,adansonia,malvaceae,malvales,dicots,,mallow family,,perth,tree,Africa,,Africa,Both,Wild,Low,None,Uncommon,natural,,
adenium obesum,,desert rose,adenium,apocynaceae,gentianales,dicots,,dog-banes,,Expo,shrub,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
adiantum capillus-veneris,,southern maidenhair fern,adiantum,pteridaceae,polypodiales,ferns,,,,singapore,herb,Worldwide temperate,,Worldwide temperate,Both,Wild,Moderate,Limited,Widespread/Common,natural,,
adiantum jordanii,,california maidenhair fern,adiantum,pteridaceae,polypodiales,ferns,,,,jakarta,herb,Western North America,,North America,Northern,Wild,Low,None,Locally common,natural,,
adonidia merrilii,,manila palm,adonidia,arecaceae,arecales,monocots,,,,singapore,tree,Southeast Asia,,Southeast Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
adonis aestivalis,,summer pheasant's eye,adonis,ranunculaceae,ranunculales,dicots,,buttercup,,Scandinavian forest,herb,Europe,,Europe,Northern,Wild,Low,None,Uncommon,natural,,
,,,adoxa,adoxaceae,dipsacales,dicots,,moschatel family,,,herb,Northern Hemisphere,,,Northern,Wild,Low,None,Widespread/Common,natural,,
aechmea bracteata,,vase bromeliad,aechmea,bromeliaceae,poales,monocots,urn plants,,,singapore,herb,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
aechmea fasciata,,urn plant,aechmea,bromeliaceae,poales,monocots,urn plants,bromelias,,Amman garden,herb,South America,,South America,Southern,Cultivated,High,Limited,Widespread/Common,natural,,
aegle marmelos,,bael,aegle,rutaceae,sapindales,dicots,,citrus family,,yogyakarta,tree,Indian Subcontinent,,Indian Subcontinent,Northern,Both,Low,Limited,Widespread/Common,natural,,
aegopodium podagraria,,ground elder,aegopodium,apiaceae,apiales,dicots,,carrot family,,kintbury,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
aeonium arboreum,,tree aeonium,aeonium,crassulaceae,saxifragales,dicots,,,,,shrub,Canary Islands,Canary Islands,Atlantic islands,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
aesculus hippocastanum,,horse-chestnut (conker),aesculus,sapindaceae,sapindales,dicots,buckeye,soapberry,phanerophyte,around amman,tree,Europe,,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
aesculus parviflora,,bottlebrush buckeye,aesculus,sapindaceae,sapindales,dicots,horse chestnuts,soapberry family,phanerophyte,london,shrub,Eastern North America,,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
,,,,,,,,,,,unknown,,,,,,,,,natural,,
afrocarpus falcatus,,common yellowwood,afrocarpus,podocarpaceae,araucariales,conifers,,,,singapore,tree,Africa,,Africa,Both,Both,Low,Limited,Locally common,natural,,
agapanthus praecox,love flower that develops early,blue lily,agapanthus,amaryllidaceae,asparagales,monocots,,,,Kew,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
,,,agastache,lamiaceae,lamiales,dicots,giant hyssops,mint family,,,herb,North America,,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
agathis robusta,,queensland kauri,agathis,araucariaceae,araucariales,,kauri,,,sydney,tree,Australia,Australia,Australia,Southern,Both,Low,Limited,Locally common,natural,,
,,,agathis,araucariaceae,araucariales,conifers,kauri,,phanerophyte,,tree,Southern Hemisphere,,,Southern,Both,Low,Limited,Locally common,natural,,
agave sisalana,,sisal,agave,asparagaceae,asparagales,monocots,agaves,asparagus,,Fifty plants,herb,Central America,,Central America,Northern,Cultivated,Moderate,Major,Widespread/Common,natural,,
agave tequilana,,tequila,agave,asparagaceae,asparagales,monocots,agaves,asparagus,,Fifty plants,herb,Central America,,Central America,Northern,Cultivated,High,Major,Widespread/Common,natural,,
agave vivipara,,century plant,agave,asparagaceae,asparagales,monocots,agaves,asparagus,,Turqoise mtn,herb,Central America,,Central America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
agonis flexuosa,,wonong,agonis,myrtaceae,myrtales,dicots,,myrtle family,,perth,tree,Australia,Australia,Australia,Southern,Both,Moderate,Limited,Widespread/Common,natural,,
ailanthus altissima,,tree of heaven,ailanthus,simaroubaceae,sapindales,dicots,quassia,,phanerophyte,around amman,tree,China,China,Asia,Northern,Both,Low,None,Widespread/Common,natural,,
ajuga reptans,,common bugle,ajuga,lamiaceae,lamiales,dicots,,mint family,,singapore,herb,Europe,,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
albizia julibrissin,,persian silk tree,albizia,fabaceae,fabales,dicots,albizia,legume family,phanerophyte,around amman,tree,Asia,,Asia,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
alcantarea imperialis,,alcantarea imperialis,alcantarea,bromeliaceae,poales,monocots,,,,sydney,herb,South America,,South America,Southern,Cultivated,High,Limited,Locally common,natural,,
alcea rosa,,hollyhock,alcea,malvaceae,malvales,dicots,hollyhocks,mallows,,rum desert,herb,Asia,,Asia,Northern,Both,High,Limited,Widespread/Common,natural,,
aleurites moluccanus,,candlenut,aleurites,euphorbiaceae,malpighiales,dicots,,spurge family,,singapore,tree,Southeast Asia,,Southeast Asia,Northern,Both,Low,Limited,Widespread/Common,natural,,
allamanda cathartica,,golden trumpet,allamanda,apocynaceae,gentianales,dicots,,dog-banes,,Expo,shrub,South America,,South America,Southern,Cultivated,High,Limited,Widespread/Common,natural,,
allenrolfea occidentalis,,iodinebush,allenrolfea,amaranthaceae,caryophyllales,dicots,,,,,shrub,Western North America,,North America,Northern,Wild,Low,None,Locally common,natural,,
alliaria petiolata,,garlic mustard,alliaria,brassicaceae,brassicales,dicots,,mustard family,,knighton,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
allium ampeloprasum,,wild leek,allium,amaryllidaceae,asparagales,monocots,alliums,onions,,yarmouk river,herb,Mediterranean,,Mediterranean,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
allium cepa,,onion,allium,amaryllidaceae,asparagales,monocots,alliums,daffodil,,Fifty plants,herb,Central Asia,,Central Asia,Northern,Cultivated,High,Major,Widespread/Common,natural,,
allium porrum,,leek,allium,amaryllidaceae,asparagales,monocots,alliums,daffodil,,Fifty plants,herb,Mediterranean,,Mediterranean,Northern,Cultivated,High,Major,Widespread/Common,natural,,
allium sativum,,garlic,allium,amaryllidaceae,asparagales,monocots,alliums,daffodil,,Fifty plants,herb,Central Asia,,Central Asia,Northern,Cultivated,High,Major,Widespread/Common,natural,,
allium tuberosum,,,allium,amaryllidaceae,asparagales,monocots,alliums,,,knighton,herb,Asia,,Asia,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
alnus glutinosa,,black alder,alnus,betulaceae,fagales,dicots,alder,birch family,phanerophyte,kintbury,tree,Europe,,Europe,Northern,Both,Low,Limited,Widespread/Common,natural,,
alnus rhombifolia,,white alder,alnus,betulaceae,fagales,dicots,alders,birches,phanerophyte,rum desert,tree,Western North America,,North America,Northern,Wild,Low,Limited,Widespread/Common,natural,,
alnus viridis,,green alder,alnus,betulaceae,fagales,dicots,alders,birch family,phanerophyte,charlevoix,tree,Northern Hemisphere,,,Northern,Wild,Low,None,Widespread/Common,natural,,
alocasia odora,,asian taro,alocasia,araceae,alismatales,monocots,,,,luang prabang,herb,Southeast Asia,,Southeast Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
aloe arborescens,,candelabra aloe,aloe,asphodelaceae,asparagales,monocots,aloes,day-lily,,around amman,shrub,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
aloe vera,,aloe vera,aloe,asphodelaceae,asparagales,monocots,aloes,day-lily,,Amman garden,herb,Africa,,Africa,Both,Cultivated,High,Major,Widespread/Common,natural,,
alpinia purpurata,,,alpinia,zingiberaceae,zingiberales,monocots,,,,bali,herb,Southeast Asia,,Southeast Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
alpinia zerumbet,,shell ginger,alpinia,zingiberaceae,zingiberales,monocots,,,,singapore,herb,Southeast Asia,,Southeast Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
alstonia scholaris,,milkwood,alstonia,apocynaceae,gentianales,dicots,,,,jakarta,tree,Southeast Asia,,Southeast Asia,Northern,Both,Low,Limited,Widespread/Common,natural,,
alstroemeria aurea,golden after Baron Claus Alstroemer,peruvian lily,alstroemeria,alstroemeriaceae,liliales,monocots,,peruvian lillies,,Flower bouquet,herb,South America,,South America,Southern,Cultivated,High,Limited,Widespread/Common,natural,,
alternanthera brasiliana,,bloodleaf,alternanthera,amaranthaceae,caryophyllales,dicots,,,,luang prabang,herb,South America,,South America,Southern,Cultivated,High,Limited,Widespread/Common,natural,,
,,,althaea,malvaceae,malvales,dicots,mallow,mallow family,,,herb,Europe,,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
amaranthus cruentus,,,amaranthus,amaranthaceae,caryophyllales,dicots,amaranths,,,luang prabang,herb,Central America,,Central America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
amaranthus retroflexus,,redroot amaranth,amaranthus,amaranthaceae,caryophyllales,dicots,amaranths,,,around amman,herb,North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,amaryllis,amaryllidaceae,asparagales,monocots,naked ladies,,,,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
amorpha canescens,,leadplant,amorpha,fabaceae,fabales,dicots,,legume family,,new york,shrub,North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
ananas comosus,,pineapple,ananas,bromeliaceae,poales,monocots,pineapples,,,jakarta,herb,South America,,South America,Southern,Cultivated,High,Major,Widespread/Common,natural,,
anaphalis margaritacea,,pearly everlasting,anaphalis,asteraceae,asterales,dicots,everlastings,daisy family,,charlevoix,herb,North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
anemone coronaria,wind used for wreaths,poppy anemone,anemone,ranunculaceae,ranunculales,dicots,windflowers,buttercup,,Scandinavian forest,herb,Mediterranean,,Mediterranean,Northern,Both,High,Limited,Widespread/Common,natural,,
anemone hupehensis,"wind from Hubei, China",japanese anemone,anemone,ranunculaceae,ranunculales,dicots,,,,london,herb,China,China,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
anethum graveolens,,dill,anethum,apiaceae,apiales,dicots,,carrots,,Fifty plants,herb,Mediterranean,,Mediterranean,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
,,,angostura,rutaceae,sapindales,dicots,,citrus family,,,tree,South America,,South America,Southern,Both,Low,Limited,Uncommon,natural,,
annona glabra,,pond apple,annona,annonaceae,magnoliales,early angiosperms,,,,singapore,tree,Americas,,Americas,Both,Both,Low,Limited,Widespread/Common,natural,,
anthurium andraeanum,,flamingo flower,anthurium,araceae,alismatales,monocots,,,,singapore,herb,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
,,,anthurium,araceae,alismatales,monocots,flamingo flower,,,,herb,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
antigonon leptopus,,coral vine,antigonon,polygonaceae,caryophyllales,dicots,,,,luang prabang,vine,Central America,,Central America,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
antirrhinum majus,nose-like that's greater,snapdragon,antirrhinum,plantaginaceae,lamiales,dicots,snapdragons,,,around amman,herb,Mediterranean,,Mediterranean,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
,,,apium,apiaceae,apiales,dicots,celery,carrot family,,,herb,Mediterranean,,Mediterranean,Northern,Cultivated,High,Major,Widespread/Common,natural,,
,,,aquilegia,ranunculaceae,ranunculales,dicots,columbine,,,,herb,Northern Hemisphere,,,Northern,Both,High,Limited,Widespread/Common,natural,,
arachis pintoi,,pinto peanut,arachis,fabaceae,fabales,dicots,,legume family,,jakarta,herb,South America,,South America,Southern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
,,,aralia,araliaceae,apiales,dicots,spikenard,,,,herb,Asia,,Asia,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
araucaria araucara,,monkey puzzle,araucaria,araucariaceae,araucariales,conifers,,,phanerophyte,,tree,South America,,South America,Southern,Both,Low,Limited,Uncommon,natural,,
araucaria bidwillii,,bunya bunya,araucaria,araucariaceae,araucariales,conifers,,,phanerophyte,Kew,tree,Australia,Australia,Australia,Southern,Both,Low,Limited,Uncommon,natural,,
arbutus menziesii,tree after Archibald Menzies,pacific madrone,arbutus,ericaceae,ericales,dicots,madrone,heath family,phanerophyte,nanaimo,tree,Western North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
arctium lappa,,greater burdock,arctium,asteraceae,asterales,dicots,,daisy family,,knighton,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
arctium minus,,lesser burdock,arctium,asteraceae,asterales,dicots,,daisy family,,knighton,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,ardisia,primulaceae,ericales,dicots,coralberry,,,,shrub,Asia,,Asia,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
,,,areca,arecaceae,arecales,monocots,betel palms,,,,tree,Southeast Asia,,Southeast Asia,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
,,,arenaria,caryophyllaceae,caryophyllales,dicots,sandworts,carnation family,,,herb,Northern Hemisphere,,,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,arisaema,araceae,alismatales,monocots,cobra lilies,,,,herb,Asia,,Asia,Northern,Wild,Moderate,Limited,Widespread/Common,natural,,
armoracia rusticana,,horseradish,armoracia,brassicaceae,brassicales,dicots,armoracia,mustard family,,greenwich,herb,Europe,,Europe,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
aronia melanocarpa,,black chokeberry,aronia,rosaceae,rosales,dicots,,rose family,,new york,shrub,Eastern North America,,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
artemisia herba-alba,,white wormwood,artemisia,asteraceae,asterales,dicots,,daisy family,,shaumari reserve,shrub,Mediterranean,,Mediterranean,Northern,Wild,Low,None,Widespread/Common,natural,,
artemisia pycnocelapha,,beach wormwood,artemisia,asteraceae,asterales,dicots,wormwoods and sagebrushes,daisy family,,around amman,herb,Mediterranean,,Mediterranean,Northern,Wild,Low,None,Widespread/Common,natural,,
artemisia vulgaris,,common wormwood,artemisia,asteraceae,asterales,dicots,wormwoods and sagebrushes,daisy family,,charlevoix,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
artocarpus altilis,,breadfruit,artocarpus,moraceae,rosales,dicots,,mulberry family,,bandung,tree,Southeast Asia,,Southeast Asia,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
artocarpus heterophyllus,,,artocarpus,moraceae,rosales,dicots,,mulberry family,,lombok,tree,Southeast Asia,,Southeast Asia,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
,,,arum,araceae,alismatales,monocots,arum lilies,,,,herb,Europe,,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
aruncus dioicus,,goatsbeard,aruncus,rosaceae,rosales,dicots,rosebeards,rose family,,charlevoix,herb,Northern Hemisphere,,,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
arundina graminifolia,,bamboo orchid,arundina,orchidaceae,asparagales,monocots,,,,singapore,herb,Southeast Asia,,Southeast Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
asclepias incarnata,,swamp milkweed,asclepias,apocynaceae,gentianales,dicots,,,,new york,herb,Eastern North America,,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
asclepias syriaca,,common milkweed,asclepias,apocynaceae,gentianales,dicots,milkweeds,,,greenwich,herb,Eastern North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
asparagus aethiopicus,,african asparagus,asparagus,asparagaceae,asparagales,monocots,,asparagus,,Expo,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
asphodelus fistulosus,,onion-leafed asphodel,asphodelus,asphodelaceae,asparagales,monocots,,,,Kew,herb,Mediterranean,,Mediterranean,Northern,Wild,Low,None,Widespread/Common,natural,,
asphodelus ramosus,,branched asphodel,asphodelus,asphodelaceae,asparagales,monocots,,day-lily,,Scandinavian forest,herb,Mediterranean,,Mediterranean,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,aspidistra,asparagaceae,asparagales,monocots,cast iron plant,,,,herb,Asia,,Asia,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
asplenium nidus,,birds nest fern,asplenium,aspleniacea,polypodiales,ferns,,,,jakarta,herb,Tropical worldwide,,Tropical worldwide,Both,Cultivated,High,Limited,Widespread/Common,natural,,
,,,aster,asteraceae,asterales,dicots,michaelmas daisy,daisy family,,,herb,North America,,North America,Northern,Both,High,Limited,Widespread/Common,natural,,
athyrium niponicum,,japanese painted fern,athyrium,athyriaceae,polypodiales,ferns,,,,knighton,herb,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
atriplex halimus,,saltbush,atriplex,amaranthaceae,caryophyllales,dicots,,,halophyte,shaumari reserve,shrub,Mediterranean,,Mediterranean,Northern,Wild,Low,None,Widespread/Common,natural,,
atriplex lentiformis,,big saltbush,atriplex,amaranthaceae,caryophyllales,dicots,,amaranth,halophyte,Expo,shrub,Western North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,atropa,solanaceae,solanales,dicots,nightshade,,,,herb,Europe,,Europe,Northern,Wild,Low,None,Uncommon,natural,,
austrocylindropuntia subulata,,eve's needle cactus,austrocylindropuntia,cactaceae,caryophyllales,dicots,,cactus,,Turqoise mtn,shrub,South America,,South America,Southern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
avena sativa,,oats,avena,poaceae,poales,monocots,,grasses,,Fifty plants,herb,Mediterranean,,Mediterranean,Northern,Cultivated,High,Major,Widespread/Common,natural,,
averrhoa carambola,,star fruit,averrhoa,oxalidaceae,oxalidales,dicots,,,,jember,tree,Southeast Asia,,Southeast Asia,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
avicennia officinalis,,indian mangrove,avicennia,acanthaceae,lamiales,dicots,mangroves,mangroves,phanerophyte,online,tree,Indian Ocean,,Indian Ocean,Southern,Wild,Low,None,Locally common,natural,,
bambusa vulgaris,,bamboo,bambusa,poaceae,poales,monocots,bamboos,grass family,,luang prabang,herb,Asia,,Asia,Northern,Both,Moderate,Major,Widespread/Common,natural,,
banksia ericafolia,,lantern banksia,banksia,proteaceae,proteales,dicots,,proteas,,perth,shrub,Australia,Australia,Australia,Southern,Wild,Low,None,Widespread/Common,natural,,
banksia integrifolia,,coastal banksia,banksia,proteaceae,proteales,dicots,,proteas,,Kew,tree,Australia,Australia,Australia,Southern,Both,Low,None,Widespread/Common,natural,,
banksia robur,,swamp banksia,banksia,proteaceae,proteales,dicots,,proteas,,sydney,shrub,Australia,Australia,Australia,Southern,Wild,Low,None,Locally common,natural,,
banksia serrata,,old man banksia,banksia,proteaceae,proteales,dicots,,proteas,,Kew,tree,Australia,Australia,Australia,Southern,Wild,Low,None,Widespread/Common,natural,,
baptisia alba,,white wild indigo,baptisia,fabaceae,fabales,dicots,,legume family,,new york,herb,Eastern North America,,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
basella alba,,malabar spinach,basella,basellaceae,caryophyllales,dicots,basella,,,around amman,herb,Asia,,Asia,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
bauhinia variegata,,orchid tree,bauhinia,fabaceae,fabales,dicots,,legume family,phanerophyte,kintbury,tree,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
bauhinia x blakeana,,hong kong orchid tree,bauhinia,fabaceae,fabales,dicots,,legume family,,jakarta,tree,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,bred,,
