SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,GEOGRAPHIC ORIGIN,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS
acer pseudoplatanus,,sycamore maple,acer,sapindaceae,sapindales,dicots,maples,,tree,kintbury,Tree,Europe,Both,Low,Limited,Widespread/Common
acer rubrum,red maple,red maple,acer,sapindaceae,sapindales,dicots,maples,,tree,Kew,Tree,Eastern North America,Both,Moderate,Limited,Widespread/Common
acer saccharinum,sugary maple,silver maple,acer,sapindaceae,sapindales,dicots,maples,,tree,Bermondsey,Tree,Eastern North America,Both,Low,None,Widespread/Common
acer saccharum,,sugar maple,acer,sapindaceae,sapindales,dicots,maples,,tree,greenwich,Tree,Eastern North America,Both,Moderate,Major,Widespread/Common
acer spicatum,maple with a spike,mountain maple,acer,sapindaceae,sapindales,dicots,maples,,tree,charlevoix,Tree,Eastern North America,Wild,Low,None,Widespread/Common
acer tataricum,,tatarian maple,acer,sapindaceae,sapindales,dicots,maples,,tree,Kew,Tree,Europe,Both,Low,None,Widespread/Common
acer tetramerum,,birch-leaf maple,acer,sapindaceae,sapindales,dicots,maples,,tree,kew,Tree,China,Cultivated,Low,None,Uncommon
achillea filipendulina,achilles that's like meadowsweet,fernleaf yarrow,achillea,asteraceae,asterales,dicots,yarrows,,,dorset,Herb,Central Asia,Both,Moderate,Limited,Widespread/Common
achillea millefolium,achilles with a thousand leaves,common yarrow,achillea,asteraceae,asterales,dicots,yarrows,,,charlevoix,Herb,Northern Hemisphere,Both,Moderate,Limited,Widespread/Common
,,,aconitum,ranunculaceae,ranunculales,dicots,monkshood,,,NA,Herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
adansonia digitata,,baobab,adansonia,malvaceae,malvales,dicots,,,,perth,Tree,Africa,Wild,Low,None,Uncommon
adenium obesum,,desert rose,adenium,apocynaceae,gentianales,dicots,,dog-banes,,Expo,Shrub,Africa,Cultivated,High,Limited,Widespread/Common
adiantum capillus-veneris,,southern maidenhair fern,adiantum,pteridaceae,polypodiales,ferns,,,,singapore,Herb,Worldwide temperate,Wild,Moderate,Limited,Widespread/Common
adiantum jordanii,,california maidenhair fern,adiantum,pteridaceae,polypodiales,ferns,,,,jakarta,Herb,Western North America,Wild,Low,None,Locally common
adonidia merrilii,,manila palm,adonidia,arecaceae,arecales,monocots,,,,singapore,Tree,Southeast Asia,Cultivated,High,Limited,Widespread/Common
adonis aestivalis,,summer pheasant's eye,adonis,ranunculaceae,ranunculales,dicots,,buttercup,,Scandinavian forest,Herb,Europe,Wild,Low,None,Uncommon
,,,adoxa,adoxaceae,dipsacales,dicots,,,,NA,Herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
aechmea bracteata,,vase bromeliad,aechmea,bromeliaceae,poales,monocots,urn plants,,,singapore,Herb,Central America,Cultivated,High,Limited,Widespread/Common
aechmea fasciata,,urn plant,aechmea,bromeliaceae,poales,monocots,urn plants,bromelias,,Amman garden,Herb,South America,Cultivated,High,Limited,Widespread/Common
aegle marmelos,,bael,aegle,rutaceae,sapindales,dicots,,,,yogyakarta,Tree,Indian Subcontinent,Both,Low,Limited,Widespread/Common
aegopodium podagraria,,ground elder,aegopodium,apiaceae,apiales,dicots,,,,kintbury,Herb,Europe,Wild,Low,None,Widespread/Common
aeonium arboreum,,tree aeonium,aeonium,crassulaceae,saxifragales,dicots,,,,NA,Shrub,Canary Islands,Cultivated,High,Limited,Widespread/Common
aesculus hippocastanum,,horse-chestnut (conker),aesculus,sapindaceae,sapindales,dicots,,soapberry,tree,around amman,Tree,Europe,Both,Moderate,Limited,Widespread/Common
aesculus parviflora,,bottlebrush buckeye,aesculus,sapindaceae,sapindales,dicots,horse chestnuts,,tree,london,Shrub,Eastern North America,Both,Moderate,Limited,Widespread/Common
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
afrocarpus falcatus,,common yellowwood,afrocarpus,podocarpaceae,araucariales,conifers,,,,singapore,Tree,Africa,Both,Low,Limited,Locally common
agapanthus praecox,love flower that develops early,blue lily,agapanthus,amaryllidaceae,asparagales,monocots,,,,Kew,Herb,Africa,Cultivated,High,Limited,Widespread/Common
,,,agastache,lamiaceae,lamiales,dicots,giant hyssops,,,NA,Herb,North America,Both,Moderate,Limited,Widespread/Common
agathis robusta,,queensland kauri,agathis,araucariaceae,araucariales,,,,,sydney,Tree,Australia,Both,Low,Limited,Locally common
,,,agathis,araucariaceae,araucariales,conifers,kauri,,tree,NA,Tree,Southern Hemisphere,Both,Low,Limited,Locally common
agave sisalana,,sisal,agave,asparagaceae,asparagales,monocots,agaves,asparagus,,Fifty plants,Herb,Central America,Cultivated,Moderate,Major,Widespread/Common
agave tequilana,,tequila,agave,asparagaceae,asparagales,monocots,agaves,asparagus,,Fifty plants,Herb,Central America,Cultivated,High,Major,Widespread/Common
agave vivipara,,century plant,agave,asparagaceae,asparagales,monocots,agaves,asparagus,,Turqoise mtn,Herb,Central America,Both,Moderate,Limited,Widespread/Common
agonis flexuosa,,wonong,agonis,myrtaceae,myrtales,dicots,,,,perth,Tree,Australia,Both,Moderate,Limited,Widespread/Common
ailanthus altissima,,tree of heaven,ailanthus,simaroubaceae,sapindales,dicots,quassia,,tree,around amman,Tree,China,Both,Low,None,Widespread/Common
ajuga reptans,,common bugle,ajuga,lamiaceae,lamiales,dicots,,,,singapore,Herb,Europe,Both,Moderate,Limited,Widespread/Common
albizia julibrissin,,persian silk tree,albizia,fabaceae,fabales,dicots,albizia,,tree,around amman,Tree,Asia,Both,Moderate,Limited,Widespread/Common
alcantarea imperialis,,alcantarea imperialis,alcantarea,bromeliaceae,poales,monocots,,,,sydney,Herb,South America,Cultivated,High,Limited,Locally common
alcea rosa,,hollyhock,alcea,malvaceae,malvales,dicots,hollyhocks,mallows,,rum desert,Herb,Asia,Both,High,Limited,Widespread/Common
aleurites moluccanus,,candlenut,aleurites,euphorbiaceae,malpighiales,dicots,,,,singapore,Tree,Southeast Asia,Both,Low,Limited,Widespread/Common
allamanda cathartica,,golden trumpet,allamanda,apocynaceae,gentianales,dicots,,dog-banes,,Expo,Shrub,South America,Cultivated,High,Limited,Widespread/Common
allenrolfea occidentalis,,iodinebush,allenrolfea,amaranthaceae,caryophyllales,dicots,,,,NA,Shrub,Western North America,Wild,Low,None,Locally common
alliaria petiolata,,garlic mustard,alliaria,brassicaceae,brassicales,dicots,,,,knighton,Herb,Europe,Wild,Low,None,Widespread/Common
allium ampeloprasum,,wild leek,allium,amaryllidaceae,asparagales,monocots,alliums,onions,,yarmouk river,Herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
allium cepa,,onion,allium,amaryllidaceae,asparagales,monocots,alliums,daffodil,,Fifty plants,Herb,Central Asia,Cultivated,High,Major,Widespread/Common
allium porrum,,leek,allium,amaryllidaceae,asparagales,monocots,alliums,daffodil,,Fifty plants,Herb,Mediterranean,Cultivated,High,Major,Widespread/Common
allium sativum,,garlic,allium,amaryllidaceae,asparagales,monocots,alliums,daffodil,,Fifty plants,Herb,Central Asia,Cultivated,High,Major,Widespread/Common
allium tuberosum,,,allium,amaryllidaceae,asparagales,monocots,alliums,,,knighton,Herb,Asia,Both,Moderate,Limited,Widespread/Common
alnus glutinosa,,black alder,alnus,betulaceae,fagales,dicots,,,tree,kintbury,Tree,Europe,Both,Low,Limited,Widespread/Common
alnus rhombifolia,,white alder,alnus,betulaceae,fagales,dicots,alders,birches,tree,rum desert,Tree,Western North America,Wild,Low,Limited,Widespread/Common
alnus viridis,,green alder,alnus,betulaceae,fagales,dicots,alders,,tree,charlevoix,Tree,Northern Hemisphere,Wild,Low,None,Widespread/Common
alocasia odora,,asian taro,alocasia,araceae,alismatales,monocots,,,,luang prabang,Herb,Southeast Asia,Cultivated,High,Limited,Widespread/Common
aloe arborescens,,candelabra aloe,aloe,asphodelaceae,asparagales,monocots,aloes,day-lily,,around amman,Shrub,Africa,Cultivated,High,Limited,Widespread/Common
aloe vera,,aloe vera,aloe,asphodelaceae,asparagales,monocots,aloes,day-lily,,Amman garden,Herb,Africa,Cultivated,High,Major,Widespread/Common
alpinia purpurata,,,alpinia,zingiberaceae,zingiberales,monocots,,,,bali,Herb,Southeast Asia,Cultivated,High,Limited,Widespread/Common
alpinia zerumbet,,shell ginger,alpinia,zingiberaceae,zingiberales,monocots,,,,singapore,Herb,Southeast Asia,Cultivated,High,Limited,Widespread/Common
alstonia scholaris,,milkwood,alstonia,apocynaceae,gentianales,dicots,,,,jakarta,Tree,Southeast Asia,Both,Low,Limited,Widespread/Common
alstroemeria aurea,golden after Baron Claus Alstroemer,peruvian lily,alstroemeria,alstroemeriaceae,liliales,monocots,,peruvian lillies,,Flower bouquet,Herb,South America,Cultivated,High,Limited,Widespread/Common
alternanthera brasiliana,,bloodleaf,alternanthera,amaranthaceae,caryophyllales,dicots,,,,luang prabang,Herb,South America,Cultivated,High,Limited,Widespread/Common
,,,althaea,malvaceae,malvales,dicots,mallow,,,NA,Herb,Europe,Both,Moderate,Limited,Widespread/Common
amaranthus cruentus,,,amaranthus,amaranthaceae,caryophyllales,dicots,amaranths,,,luang prabang,Herb,Central America,Both,Moderate,Limited,Widespread/Common
amaranthus retroflexus,,redroot amaranth,amaranthus,amaranthaceae,caryophyllales,dicots,amaranths,,,around amman,Herb,North America,Wild,Low,None,Widespread/Common
,,,amaryllis,amaryllidaceae,asparagales,monocots,naked ladies,,,NA,Herb,Africa,Cultivated,High,Limited,Widespread/Common
amorpha canescens,,leadplant,amorpha,fabaceae,fabales,dicots,,,,new york,Shrub,North America,Wild,Low,None,Widespread/Common
ananas comosus,,pineapple,ananas,bromeliaceae,poales,monocots,pineapples,,,jakarta,Herb,South America,Cultivated,High,Major,Widespread/Common
anaphalis margaritacea,,pearly everlasting,anaphalis,asteraceae,asterales,dicots,everlastings,,,charlevoix,Herb,North America,Wild,Low,None,Widespread/Common
anemone coronaria,wind used for wreaths,poppy anemone,anemone,ranunculaceae,ranunculales,dicots,windflowers,buttercup,,Scandinavian forest,Herb,Mediterranean,Both,High,Limited,Widespread/Common
anemone hupehensis,"wind from Hubei, China",japanese anemone,anemone,ranunculaceae,ranunculales,dicots,,,,london,Herb,China,Cultivated,High,Limited,Widespread/Common
anethum graveolens,,dill,anethum,apiaceae,apiales,dicots,,carrots,,Fifty plants,Herb,Mediterranean,Cultivated,Moderate,Limited,Widespread/Common
,,,angostura,rutaceae,sapindales,dicots,,,,NA,Tree,South America,Both,Low,Limited,Uncommon
annona glabra,,pond apple,annona,annonaceae,magnoliales,early angiosperms,,,,singapore,Tree,Americas,Both,Low,Limited,Widespread/Common
anthurium andraeanum,,flamingo flower,anthurium,araceae,alismatales,monocots,,,,singapore,Herb,Central America,Cultivated,High,Limited,Widespread/Common
,,,anthurium,araceae,alismatales,monocots,flamingo flower,,,NA,Herb,Central America,Cultivated,High,Limited,Widespread/Common
antigonon leptopus,,coral vine,antigonon,polygonaceae,caryophyllales,dicots,,,,luang prabang,Vine,Central America,Cultivated,Moderate,Limited,Widespread/Common
antirrhinum majus,nose-like that's greater,snapdragon,antirrhinum,plantaginaceae,lamiales,dicots,snapdragons,,,around amman,Herb,Mediterranean,Cultivated,High,Limited,Widespread/Common
,,,apium,apiaceae,apiales,dicots,celery,,,NA,Herb,Mediterranean,Cultivated,High,Major,Widespread/Common
,,,aquilegia,ranunculaceae,ranunculales,dicots,columbine,,,NA,Herb,Northern Hemisphere,Both,High,Limited,Widespread/Common
arachis pintoi,,pinto peanut,arachis,fabaceae,fabales,dicots,,,,jakarta,Herb,South America,Cultivated,Moderate,Limited,Widespread/Common
,,,aralia,araliaceae,apiales,dicots,spikenard,,,NA,Herb,Asia,Both,Moderate,Limited,Widespread/Common
araucaria araucara,,monkey puzzle,araucaria,araucariaceae,araucariales,conifers,,,tree,NA,Tree,South America,Both,Low,Limited,Uncommon
araucaria bidwillii,,bunya bunya,araucaria,araucariaceae,araucariales,conifers,,,tree,Kew,Tree,Australia,Both,Low,Limited,Uncommon
arbutus menziesii,tree after Archibald Menzies,pacific madrone,arbutus,ericaceae,ericales,dicots,madrone,,tree,nanaimo,Tree,Western North America,Wild,Low,None,Widespread/Common
arctium lappa,,greater burdock,arctium,asteraceae,asterales,dicots,,,,knighton,Herb,Europe,Wild,Low,None,Widespread/Common
arctium minus,,lesser burdock,arctium,asteraceae,asterales,dicots,,,,knighton,Herb,Europe,Wild,Low,None,Widespread/Common
,,,ardisia,primulaceae,ericales,dicots,coralberry,,,NA,Shrub,Asia,Both,Moderate,Limited,Widespread/Common
,,,areca,arecaceae,arecales,monocots,betel palms,,,NA,Tree,Southeast Asia,Both,Moderate,Limited,Widespread/Common
,,,arenaria,caryophyllaceae,caryophyllales,dicots,sandworts,,,NA,Herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
,,,arisaema,araceae,alismatales,monocots,cobra lilies,,,NA,Herb,Asia,Wild,Moderate,Limited,Widespread/Common
armoracia rusticana,,horseradish,armoracia,brassicaceae,brassicales,dicots,armoracia,,,greenwich,Herb,Europe,Cultivated,Moderate,Limited,Widespread/Common
aronia melanocarpa,,black chokeberry,aronia,rosaceae,rosales,dicots,,,,new york,Shrub,Eastern North America,Both,Moderate,Limited,Widespread/Common
artemisia herba-alba,,white wormwood,artemisia,asteraceae,asterales,dicots,,,,shaumari reserve,Shrub,Mediterranean,Wild,Low,None,Widespread/Common
artemisia pycnocelapha,,beach wormwood,artemisia,asteraceae,asterales,dicots,wormwoods and sagebrushes,,,around amman,Herb,Mediterranean,Wild,Low,None,Widespread/Common
artemisia vulgaris,,common wormwood,artemisia,asteraceae,asterales,dicots,wormwoods and sagebrushes,,,charlevoix,Herb,Europe,Wild,Low,None,Widespread/Common
artocarpus altilis,,breadfruit,artocarpus,moraceae,rosales,dicots,,,,bandung,Tree,Southeast Asia,Cultivated,Moderate,Limited,Widespread/Common
artocarpus heterophyllus,,,artocarpus,moraceae,rosales,dicots,,,,lombok,Tree,Southeast Asia,Cultivated,Moderate,Limited,Widespread/Common
,,,arum,araceae,alismatales,monocots,arum lilies,,,NA,Herb,Europe,Both,Moderate,Limited,Widespread/Common
aruncus dioicus,,goatsbeard,aruncus,rosaceae,rosales,dicots,rosebeards,,,charlevoix,Herb,Northern Hemisphere,Both,Moderate,Limited,Widespread/Common
arundina graminifolia,,bamboo orchid,arundina,orchidaceae,asparagales,monocots,,,,singapore,Herb,Southeast Asia,Cultivated,High,Limited,Widespread/Common
asclepias incarnata,,swamp milkweed,asclepias,apocynaceae,gentianales,dicots,,,,new york,Herb,Eastern North America,Both,Moderate,Limited,Widespread/Common
asclepias syriaca,,common milkweed,asclepias,apocynaceae,gentianales,dicots,milkweeds,,,greenwich,Herb,Eastern North America,Wild,Low,None,Widespread/Common
asparagus aethiopicus,,african asparagus,asparagus,asparagaceae,asparagales,monocots,,asparagus,,Expo,Herb,Africa,Cultivated,High,Limited,Widespread/Common
asphodelus fistulosus,,onion-leafed asphodel,asphodelus,asphodelaceae,asparagales,monocots,,,,Kew,Herb,Mediterranean,Wild,Low,None,Widespread/Common
asphodelus ramosus,,branched asphodel,asphodelus,asphodelaceae,asparagales,monocots,,day-lily,,Scandinavian forest,Herb,Mediterranean,Wild,Low,None,Widespread/Common
,,,aspidistra,asparagaceae,asparagales,monocots,cast iron plant,,,NA,Herb,Asia,Cultivated,Moderate,Limited,Widespread/Common
asplenium nidus,,birds nest fern,asplenium,aspleniacea,polypodiales,ferns,,,,jakarta,Herb,Tropical worldwide,Cultivated,High,Limited,Widespread/Common
,,,aster,asteraceae,asterales,dicots,michaelmas daisy,,,NA,Herb,North America,Both,High,Limited,Widespread/Common
athyrium niponicum,,japanese painted fern,athyrium,athyriaceae,polypodiales,ferns,,,,knighton,Herb,Asia,Cultivated,High,Limited,Widespread/Common
atriplex halimus,,saltbush,atriplex,amaranthaceae,caryophyllales,dicots,,,halophyte,shaumari reserve,Shrub,Mediterranean,Wild,Low,None,Widespread/Common
atriplex lentiformis,,big saltbush,atriplex,amaranthaceae,caryophyllales,dicots,,amaranth,halophyte,Expo,Shrub,Western North America,Wild,Low,None,Widespread/Common
,,,atropa,solanaceae,solanales,dicots,nightshade,,,NA,Herb,Europe,Wild,Low,None,Uncommon
austrocylindropuntia subulata,,eve's needle cactus,austrocylindropuntia,cactaceae,caryophyllales,dicots,,cactus,,Turqoise mtn,Shrub,South America,Cultivated,Moderate,Limited,Widespread/Common
avena sativa,,oats,avena,poaceae,poales,monocots,,grasses,,Fifty plants,Herb,Mediterranean,Cultivated,High,Major,Widespread/Common
averrhoa carambola,,star fruit,averrhoa,oxalidaceae,oxalidales,dicots,,,,jember,Tree,Southeast Asia,Cultivated,Moderate,Limited,Widespread/Common
avicennia officinalis,,indian mangrove,avicennia,acanthaceae,lamiales,dicots,mangroves,mangroves,tree,online,Tree,Indian Ocean,Wild,Low,None,Locally common
bambusa vulgaris,,bamboo,bambusa,poaceae,poales,monocots,bamboos,,,luang prabang,Herb,Asia,Both,Moderate,Major,Widespread/Common
banksia ericafolia,,lantern banksia,banksia,proteaceae,proteales,dicots,,,,perth,Shrub,Australia,Wild,Low,None,Widespread/Common
banksia integrifolia,,coastal banksia,banksia,proteaceae,proteales,dicots,,,,Kew,Tree,Australia,Both,Low,None,Widespread/Common
banksia robur,,swamp banksia,banksia,proteaceae,proteales,dicots,,,,sydney,Shrub,Australia,Wild,Low,None,Locally common
banksia serrata,,old man banksia,banksia,proteaceae,proteales,dicots,,,,Kew,Tree,Australia,Wild,Low,None,Widespread/Common
baptisia alba,,white wild indigo,baptisia,fabaceae,fabales,dicots,,,,new york,Herb,Eastern North America,Both,Moderate,Limited,Widespread/Common
basella alba,,malabar spinach,basella,basellaceae,caryophyllales,dicots,basella,,,around amman,Herb,Asia,Cultivated,Moderate,Limited,Widespread/Common
bauhinia variegata,,orchid tree,bauhinia,fabaceae,fabales,dicots,,,tree,kintbury,Tree,Asia,Cultivated,High,Limited,Widespread/Common
bauhinia x blakeana,,hong kong orchid tree,bauhinia,fabaceae,fabales,dicots,,,,jakarta,Tree,Asia,Cultivated,High,Limited,Widespread/Common
beaucarnea reurverata,,elephants foot,beaucarnea,asparagaceae,asparagales,monocots,,asparagus,,office,Tree,Central America,Cultivated,High,Limited,Widespread/Common
begonia cucullata,,clubbed begonia,begonia,begoniaceae,cucurbitales,dicots,,,,kintbury,Herb,South America,Cultivated,High,Limited,Widespread/Common
begonia formosana,,clubbed begonia,begonia,begoniaceae,cucurbitales,dicots,,,,singapore,Herb,Asia,Cultivated,High,Limited,Widespread/Common
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
,,,bellis,asteraceae,asterales,dicots,daisies,,,NA,Herb,Europe,Both,High,Limited,Widespread/Common
berberis darwinii,,darwins barberry,berberis,berberidaceae,ranunculales,dicots,,,,london,Shrub,South America,Both,Moderate,Limited,Widespread/Common
berberis thunbergii,,red barberry,berberis,berberidaceae,ranunculales,dicots,,,,knighton,Shrub,Asia,Both,High,Limited,Widespread/Common
,,,berberis,berberidaceae,ranunculales,dicots,barberries,,,NA,Shrub,Northern Hemisphere,Both,Moderate,Limited,Widespread/Common
,,,beta,amaranthaceae,caryophyllales,dicots,beets,,,NA,Herb,Mediterranean,Cultivated,High,Major,Widespread/Common
betula nigra,,river birch,betula,betulaceae,fagales,dicots,birches,,tree,charlevoix,Tree,Eastern North America,Both,Moderate,Limited,Widespread/Common
betula pendula,,silver birch,betula,betulaceae,fagales,dicots,birches,birches,tree,online,Tree,Europe,Both,Moderate,Limited,Widespread/Common
betula populifolia,,gray birch,betula,betulaceae,fagales,dicots,birches,,tree,greenwich,Tree,Eastern North America,Wild,Low,None,Widespread/Common
bidens pilosa,,black-jack,bidens,asteraceae,asterales,dicots,,,,luang prabang,Herb,Americas,Wild,Low,None,Widespread/Common
bismarckia nobilis,,bismarck palm,bismarckia,arecaceae,arecales,monocots,,,,NA,Tree,Madagascar,Cultivated,High,Limited,Uncommon
blechnum penna-marina,,alpine hard fern,blechnum,blechnaceae,polypodiales,ferns,,,,perth,Herb,Southern Hemisphere,Wild,Low,None,Widespread/Common
bocconia frutescens,,tree poppy,bocconia,papaveraceae,ranunculales,dicots,,,,singapore,Shrub,Central America,Cultivated,Low,None,Widespread/Common
boehmeria nivea,,ramie,boehmeria,urticaceae,rosales,dicots,,,,luang prabang,Herb,Asia,Cultivated,Moderate,Limited,Widespread/Common
,,,borago,boraginaceae,boraginales,dicots,borage,,,NA,Herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
bougainvillea glabra,,lesser bougainvillea,bougainvillea,nyctaginaceae,caryophyllales,dicots,bougainvilleas,,,around amman,Vine,South America,Cultivated,High,Limited,Widespread/Common
bougainvillea spectabilis,,bougainvillea,bougainvillea,nyctaginaceae,caryophyllales,dicots,,four-o'clocks,,Kempinski,Vine,South America,Cultivated,High,Limited,Widespread/Common
,,,bowenia,stangeriaceae,cycadales,cycads,,,,NA,Herb,Australia,Wild,Low,None,Rare
brassica oleracea,,cabbage,brassica,brassicaceae,brassicales,dicots,cabbages,mustard and cabbage,,Fifty plants,Herb,Mediterranean,Cultivated,High,Major,Widespread/Common
bromus tectorum,,cheat grass,bromus,poaceae,poales,monocots,grasses,grasses,,amman,Herb,Europe,Wild,Low,None,Widespread/Common
brugmansia arborea,,angel's trumpet,brugmansia,solanaceae,solanales,dicots,,,,NA,Shrub,South America,Cultivated,High,Limited,Widespread/Common
brugmansia sanguinea,,red angels trumpet,brugmansia,solanaceae,solanales,dicots,angels trumpets,,,Kew,Shrub,South America,Cultivated,High,Limited,Widespread/Common
buddleja davidii,,butterfly bush,buddleja,scrophulariaceae,lamiales,dicots,butterfly bushes,,,Bermondsey,Shrub,China,Both,High,Limited,Widespread/Common
,,,bulbine,asphodelaceae,asparagales,monocots,,,,NA,Herb,Africa,Both,Moderate,Limited,Widespread/Common
buxus sempervirens,,common box,buxus,buxaceae,buxales,dicots,,,,NA,Shrub,Europe,Both,High,Limited,Widespread/Common
caesalpinia pulcherrima,,peacock flower,caesalpinia,fabaceae,fabales,dicots,,,,singapore,Shrub,Central America,Cultivated,High,Limited,Widespread/Common
caesalpinia sclerocarpa,,,caesalpinia,fabaceae,fabales,dicots,,,,perth,Shrub,Australia,Wild,Low,None,Widespread/Common
caladium bicolor,,heart of jesus,caladium,araceae,alismatales,monocots,,,,singapore,Herb,South America,Cultivated,High,Limited,Widespread/Common
calamagrostis canadensis,,canadian reedgrass,calamagrostis,poaceae,poales,monocots,,,,knighton,Herb,North America,Wild,Low,None,Widespread/Common
,,,calamagrostis,poaceae,poales,monocots,reed grass,,,NA,Herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
,,,calamus,arecaceae,arecales,monocots,rattan palms,,,NA,Vine,Southeast Asia,Both,Low,Limited,Widespread/Common
calendula arvensis,,field marigold,calendula,asteraceae,asterales,dicots,,daisy and sunflower,,Scandinavian forest,Herb,Mediterranean,Wild,Low,None,Widespread/Common
calendula officinalis,,field marigold,calendula,asteraceae,asterales,dicots,,,,dorset,Herb,Mediterranean,Cultivated,High,Limited,Widespread/Common
calliandra haematocephala,,scarlet powder-puff,calliandra,fabaceae,fabales,dicots,,legumes,,yarmouk river,Shrub,Central America,Cultivated,High,Limited,Widespread/Common
callianthe megapotamica,,trailling abutilon,callianthe,malvaceae,malvales,dicots,,,,singapore,Shrub,South America,Cultivated,Moderate,Limited,Widespread/Common
,,,callistemon,myrtaceae,myrtales,dicots,bottlebrushes,,,NA,Shrub,Australia,Both,High,Limited,Widespread/Common
calluna vulgaris,,common heather,calluna,ericaceae,ericales,dicots,ling,,,NA,Shrub,Europe,Wild,Moderate,Limited,Widespread/Common
calocedrus decurrens,,california incense-cedar,calocedrus,cupressaceae,cupressales,conifers,incense cedars,,tree,Kew,Tree,Western North America,Both,Low,Limited,Widespread/Common
calocedrus formosana,,taiwan incense cedar,calocedrus,cupressaceae,cupressales,conifers,incense cedars,,tree,kew,Tree,Taiwan,Both,Low,None,Locally common
